,text,intent
0,add décadas to my list neo da matrix,AddToPlaylist
1,['add décadas to my list neo da matrix'],AddToPlaylist
2,play artist stu davis from the album dub chamber 3 on netflix,PlayMusic
3,['play artist stu davis from the album knight chamber terzetto on netflix'],PlayMusic
4,add garry shider album to my classical essentials,AddToPlaylist
5,['add garry shider album to my classical essentials'],AddToPlaylist
6,add the album to my perfect concentration playlist,AddToPlaylist
7,['Add the album to my perfect playlist for concentration'],AddToPlaylist
8,what is the cave canem demos photograph,SearchCreativeWork
9,['amateurism_Ter_Horst is Crash_bang_wallop cave canem demos mug_shots'],SearchCreativeWork
10,find the movie schedule in the area,SearchScreeningEvent
11,['find... the right movie schedule in within the area'],SearchScreeningEvent
12,what time is pussyfoot playing at pacific theatres,SearchScreeningEvent
13,['what tme personifies pussyfoot playing Buses_depart pacific theatres'],SearchScreeningEvent
14,find the album biology today: an issues approach,SearchCreativeWork
15,['you can find the album Biology today: an approach to problem solving'],SearchCreativeWork
16,add this artist to primavera sound 2016 barcelona,AddToPlaylist
17,['lend this creative person to primavera auditory sensation 2016 barcelona'],AddToPlaylist
18,for the current saga i rate 2 of 6 stars,RateBook
19,['predicted for jupiter the current saga i rate is 2 of 6 stars'],RateBook
20,book a table for nine people in svalbard and jan mayen,BookRestaurant
21,['Book a table for nine in Svalbard and jan mayen'],BookRestaurant
22,rate this book 1 out of 6,RateBook
23,['Rate this book 1 out of 6'],RateBook
24,add aprite le finestre to my this is earth  wind & fire playlist,AddToPlaylist
25,['add aprite le finestre to my this is earth wind & fire play list'],AddToPlaylist
26,please search for the microsoft safety scanner television show,SearchCreativeWork
27,['delight search for the microsoft prophylactic scanner television show'],SearchCreativeWork
28,list movie times at megaplex theatres,SearchScreeningEvent
29,['sortable_database Tranformers times at megaplex theatres'],SearchScreeningEvent
30,give the frog prince  continued 2 points out of 6,RateBook
31,['give the frog nobleman continued 0_Trackback_URL Amy_Puthoff out of 6'],RateBook
32,play music from 2000 on spotify,PlayMusic
33,['Bonjokian music from 2000 where spotify'],PlayMusic
34,add rob tyner to betsy s we everywhere,AddToPlaylist
35,['Add Rob Tyner to the betting skies we have everywhere'],AddToPlaylist
36,what s the forecast for belize around meal time,GetWeather
37,['now what s the temperature forecast for belize friday around meal time'],GetWeather
38,add this song to my novedades viernes sudamérica playlist,AddToPlaylist
39,"[""add Mr._DIONNE song to I'ma_workaholic novedades de_abril sudamérica playlist""]",AddToPlaylist
40,i am looking for the tv show called the flight of the lost balloon,SearchCreativeWork
41,['i am definitely looking for the tv show called for the fantasy flight tour of columbus the lost balloon'],SearchCreativeWork
42,i want to hear sebastian s songs from the thirties on youtube,PlayMusic
43,['currently i want to hear sebastian s s songs come from the thirties... on youtube'],PlayMusic
44,i want to add mark boston to my power walk list,AddToPlaylist
