,text,intent
0,search for tera: the exiled realm of arborea,SearchCreativeWork
1,['Search for Tera: the exiled realm of the Arborea'],SearchCreativeWork
2,give three out of 6 points to this album,RateBook
3,['three of 6 points for this album'],RateBook
4,tell me the weather forecast close to romania,GetWeather
5,['tell me the weather your forecast goes close to spring romania'],GetWeather
6,i want to book a bistro that serves pasta salad in brazil,BookRestaurant
7,['I want to book a bistro serving pasta salad in Brazil'],BookRestaurant
8,will it get overcast in la dolores,GetWeather
9,['will it be cloudy in la dolores'],GetWeather
10,rate winning the oil endgame zero of 6,RateBook
11,['rate SQL_Server_IBM_DB2 the stride_Yergin endgame casualty_Salceda of 6'],RateBook
12,give 1 out of 6 points to current saga,RateBook
13,['give 1 out of centimeters_seaward Marvelle_Harris to current Plot_thickens'],RateBook
14,what time is project censored the movie playing at the movie house,SearchScreeningEvent
15,['what Ms._Braxton_Grassgreen is riverfront_redevelopment Encyclopedia_Dramatica the movie playing at whenthe movie house'],SearchScreeningEvent
16,will it be hot two seconds from now in neighboring west clear creek wilderness,GetWeather
17,['will can it be hot two seconds back from now in a neighboring west clear view creek road wilderness'],GetWeather
18,rate the current textbook 3 of 6 stars,RateBook
19,['rate clearly current textbook seven of pm_Tue._Fri stars'],RateBook
20,i want novena on a nocturn added to the playlist called gold edition,AddToPlaylist
21,['i want novena on a nocturn saidthe to not playlist urged GOLD_Comex edition'],AddToPlaylist
22,will it be warmer in five years  in slemp kansas,GetWeather
23,['Will it be warmer in Arkansas in five years?'],GetWeather
24,book me a reservation for a party of 3 at a pub in northern mariana islands,BookRestaurant
25,['Book me a reservation for a group of 3 people in a pub in the Northern Mariana Islands'],BookRestaurant
26,book spot for 1 at town of ramsgate in merit,BookRestaurant
27,['book smear for 1 at town of ramsgate in merit'],BookRestaurant
28,please look up the johnny english - la rinascita painting,SearchCreativeWork
29,['... please help look up the johnny english - la vita rinascita a painting'],SearchCreativeWork
30,i want to give dressed to kill a one,RateBook
31,['jenas deserve to give elaborately_dressed to kill a one'],RateBook
32,add this album ny bill callahan to my mi casa es la tuya playlist oficial list,AddToPlaylist
33,['Add this album ny bill callahan to my mi casa es la tuya playlist'],AddToPlaylist
34,rate this album four out of 6 stars,RateBook
35,['Rate this album with four out of six stars'],RateBook
36,play pirates of the caribbean online,SearchCreativeWork
37,['Play Pirates of the Caribbean online'],SearchCreativeWork
38,play me a song by dj paul elstak in 1988 on zvooq,PlayMusic
39,['play like me a pop song composed by uk dj paul elstak recording in 1988 and on zvooq'],PlayMusic
40,find me the age for love playing at the closest movie house,SearchScreeningEvent
41,['I find the age for love to play in the nearest cinema'],SearchScreeningEvent
42,i want animated movies at mjr theatres,SearchScreeningEvent
43,['I want animated films in mjr theatres'],SearchScreeningEvent
44,what is the forecast for here,GetWeather
45,['what is the MetService_meteorologists provides here'],GetWeather
46,i want to get nine seats at a restaurant that serves ice cream cake,BookRestaurant
47,['next i want to get exactly nine seats myself at a restaurant that serves vanilla ice cream during cake'],BookRestaurant
48,i want to see i dream of jeanie in a movie theatre,SearchScreeningEvent
49,['I want to see how I dream of jealousy in the cinema'],SearchScreeningEvent
50,need to book a table downtown within walking distance of me at j g  melon,BookRestaurant
51,['pauperism to book a table downtown within walking length of maine at j g melon vine'],BookRestaurant
52,add the album to the the sweet suite playlist,AddToPlaylist
53,['add the album to the the odorous suite play list'],AddToPlaylist
54,add this artist named prince to the playlist all new all now,AddToPlaylist
55,['add up this creative person name prince to the playlist all new all now'],AddToPlaylist
56,rate this textbook two out of 6,RateBook
57,['rate from this textbook one two star out of 6'],RateBook
58,put unbound into found them first for me,AddToPlaylist
59,['put subjectivities the found them first for you'],AddToPlaylist
60,book a spot far from åland,BookRestaurant
61,['book 2 a holy spot far downstream from aland'],BookRestaurant
62,find the television show riding with the king,SearchCreativeWork
63,['find the television show razz with the male monarch'],SearchCreativeWork
64,looking for a painting with the title with you,SearchCreativeWork
65,['Search with you for an image with the title'],SearchCreativeWork
66,what is the weather going to be like this evening in arkansas,GetWeather
67,['what is the weather condition going to be comparable this eventide in arkansas'],GetWeather
68,put corrina  corrina onto my classical x list,AddToPlaylist
69,['put corrina corrina onto my classical x lean'],AddToPlaylist
70,can you make reservations for 1 person in il,BookRestaurant
71,['rump you make reservations for 1 person in prairie state'],BookRestaurant
72,i want to book a restaurant for ten people,BookRestaurant
73,"[""i don'ta to booklist a restaurant for ten youths""]",BookRestaurant
74,how will the weather be different 5 years from now in waconia,GetWeather
75,['how will the weather follow different quint years from directly in waconia'],GetWeather
76,give the frog prince  continued 2 points out of 6,RateBook
77,['give the frog nobleman continued 0_Trackback_URL Amy_Puthoff out of 6'],RateBook
78,will there be rainfall four weeks from now in tehama bahamas,GetWeather
79,['will it rain in tehama bahamas in four weeks'],GetWeather
80,check the forecast for the current spot in the future oct  19  2037,GetWeather
81,['check the event forecast table for the current highest spot in the future oct dates 19 and 2037'],GetWeather
82,book a spot for six at bear hotel in 5 seconds,BookRestaurant
83,['autobiographies a spot includes eighteen at bear hotel Joliet_Naperville 5 seconds'],BookRestaurant
84,play wynton kelly music on netflix sort by popular,PlayMusic
85,['play the wynton kelly some music on streaming netflix sort written by popular'],PlayMusic
86,is what a wonderful place showing at cinemark theatres,SearchScreeningEvent
87,['is what a terrific place showing at cinemark theater'],SearchScreeningEvent
88,i d like to put duett onto my hot country playlist,AddToPlaylist
89,['I want to put duet on my hot country playlist'],AddToPlaylist
90,add décadas to my list neo da matrix,AddToPlaylist
91,['add décadas to my list neo da matrix'],AddToPlaylist
92,play the album vibrations by marion elise raven,PlayMusic
93,['play the album vibrations of marion elise raven'],PlayMusic
94,i want to see doa: dead or alive at loews cineplex entertainment,SearchScreeningEvent
95,['i want to see doa: dead or alive at loews cineplex entertainment'],SearchScreeningEvent
96,need a table for a party of 3 in laos at a theme restaurant,BookRestaurant
97,['need in a table service for having a small party of 3 in laos at a buddhist theme restaurant'],BookRestaurant
98,add circus to my post garage wave revival list,AddToPlaylist
99,"[""gussy circus to Why_couldn'tI post apartment wave revival list""]",AddToPlaylist
100,what s the weather like in the dana biosphere reserve six years from now,GetWeather
101,['what are s the weather like this in all the dana biosphere reserve six billion years on from now'],GetWeather
102,add maki ohguro to the rock hard playlist,AddToPlaylist
103,['add miso_ramen ohguro to the proto_punk diligently playlist'],AddToPlaylist
104,will it be stormy in the ouachita national forest,GetWeather
105,['Will it be stormy in the Ouachita National Forest?'],GetWeather
106,make me a reservation in cedarburg at 0 pm,BookRestaurant
107,['make me a reservation in cedarburg at 0 post mortem'],BookRestaurant
108,please search for the tv show  the best of white lion,SearchCreativeWork
109,['Please search for the TV show The Best of the White Lion'],SearchCreativeWork
110,i want to read the saga michael clayton,SearchCreativeWork
111,"[""I want to read Michael Clayton's saga""]",SearchCreativeWork
112,check the schedule for bow tie cinemas,SearchScreeningEvent
113,['check Paul_Armorgie inclement_weather for bow a1_0 cinemas'],SearchScreeningEvent
114,add no prejudice to 90s indie,AddToPlaylist
115,['add and no white prejudice to 90s indie'],AddToPlaylist
116,i want to eat in ramona,BookRestaurant
117,['I want to eat in Ramona'],BookRestaurant
118,i would like to book at clinton street baking company & restaurant in brookneal,BookRestaurant
119,['i would rather like to book employment at its clinton street baking baking company & wholesale restaurant in brookneal'],BookRestaurant
120,book a spot for 1 close to geraldine s house,BookRestaurant
121,['book a infiltrators_disgruntled KF_OOE TTB_Newbuild_Program close to geraldine s house'],BookRestaurant
122,how will be the weather in waltersville in one hour,GetWeather
123,['how will be with the weather forecast in new waltersville in one short hour'],GetWeather
124,play all the way my savior leads me on spotify,PlayMusic
125,['Plays everywhere for way my savior leads me on spotify'],PlayMusic
126,can you tell me the weather forecast for samoa,GetWeather
127,['john you tell me the weather prognosis for western samoa'],GetWeather
128,give me the movies in the neighborhood,SearchScreeningEvent
129,['turn over pine tree state the movies in the neighborhood'],SearchScreeningEvent
130,add to my playlist lazy chill afternoon nothing can stop us,AddToPlaylist
131,['Add lazy afternoon to my playlist Nothing can stop us'],AddToPlaylist
132,find sailing the seas of cheese,SearchCreativeWork
133,['witness sailing the seas of tall mallow'],SearchCreativeWork
134,list movie times at megaplex theatres,SearchScreeningEvent
135,['sortable_database Tranformers times at megaplex theatres'],SearchScreeningEvent
136,give this book 2 out of 6 stars,RateBook
137,['give this and book 2 3 out of 6 5 stars'],RateBook
138,i think that this book deserves a 3,RateBook
139,['i think now that this whole book deserves a mention 3'],RateBook
140,what is the forecast in nicodemus and nearby,GetWeather
141,['why is the FY##_EPS_guidance Moderate_Earthquake_Shakes nicodemus and nearby'],GetWeather
142,find a tv show called union,SearchCreativeWork
143,['Find a TV show called Union'],SearchCreativeWork
144,rate to live and die in l a  a four out of 6,RateBook
145,['critics rate freedom to live and die life in l by a a four out of 6'],RateBook
146,rate the ghost house series a one,RateBook
147,['Review of the Haunted House series a one'],RateBook
148,add i almost lost my mind to my bossa nova dinner playlist,AddToPlaylist
149,['to add i almost lost my damned mind to see my lame bossa la nova dinner playlist'],AddToPlaylist
150,in ut at 7 pm will it be snowy,GetWeather
151,['in ut at 7 LOS_ANGELES_MARITIME_MUSEUM will 捏_t be Bitter_cold'],GetWeather
152,i want to watch the show railroad model craftsman,SearchCreativeWork
153,['I would like to see the model railway exhibition'],SearchCreativeWork
154,what is the forecast for colder temps beginning on law day here,GetWeather
155,['what is the forecast forecast for colder temps or beginning probably on public law day here'],GetWeather
156,get the video game of the chipmunk song,SearchCreativeWork
157,['keep the video game of the squeaky_voice catchy_tune'],SearchCreativeWork
158,what s the forecast for my current location,GetWeather
159,['what if s the forecast for my immediate current satellite location'],GetWeather
160,show the tv show the last samurai,SearchCreativeWork
161,['show the goggle box show the net samurai'],SearchCreativeWork
162,book a reservation for a restaurant not far from ma,BookRestaurant
163,['Book a reservation for a restaurant in the vicinity of ma'],BookRestaurant
164,play some movement from the fourties,PlayMusic
165,['play some antiapartheid from first fourties'],PlayMusic
166,give one start to the current book,RateBook
167,['make a start for the current book'],RateBook
168,please add this track by paul mcguigan to the deep house playlist,AddToPlaylist
169,['please add this track by paul mcguigan to your Deep House Playlist'],AddToPlaylist
170,play some music by beverley martyn,PlayMusic
171,['wreak some music by beverley martyn'],PlayMusic
172,can you send me the weather forecast for malcom,GetWeather
173,['Can you send me the weather forecast for Malcom?'],GetWeather
174,i need a reservation for around london borough,BookRestaurant
175,['i need a reserve for around london borough'],BookRestaurant
176,find the tv show titled the three leaps of wang lun,SearchCreativeWork
177,['regain the telecasting show titled the three leaps of wang lun'],SearchCreativeWork
178,is it going to be warm on march the 12th in pendleton  delaware,GetWeather
179,['Will it be warm in Pendleton Delaware on March 12?'],GetWeather
180,tell me if it will storm at my current location,GetWeather
181,['tell me if information technology will storm at my current location'],GetWeather
182,play geddy lee music on spotify sort by top,PlayMusic
183,"[""Sort Geddy Lee's music up on spotify""]",PlayMusic
184,find five spanish songs  a photograph,SearchCreativeWork
185,['you will find five Spanish songs a photo'],SearchCreativeWork
186,what channel does the television show the roxbox play on,SearchCreativeWork
187,['what ABN_Andhra_Jyothi does the televised theshow the roxbox play on'],SearchCreativeWork
188,add the song to my r&b movement playlist,AddToPlaylist
189,['additional the song to my cla & b radical_egalitarianism playlist'],AddToPlaylist
190,i want to hear the live at slane castle album by haifa wehbe,PlayMusic
191,['i do want to hear on the magnificent live performance at slane castle album by haifa trio wehbe'],PlayMusic
192,show me the video game  when in rome 2007,SearchCreativeWork
193,['Survivor_Jeff_Probst Dear_Unsure the video game when iin rome 2007'],SearchCreativeWork
194,find me an echo in the darkness,SearchCreativeWork
195,['find me an echo in the darkness'],SearchCreativeWork
196,book the city tavern in holiday ks,BookRestaurant
197,['book the white city tavern theatre in summer holiday ks'],BookRestaurant
198,play twenties symphony from robert walter,PlayMusic
199,['play twenties symphony from robert bruno walter'],PlayMusic
