,text,intent
0,put four rating on the raging quiet,RateBook
1,['Four ratings for the raging silence'],RateBook
2,i want to give the current textbook 0 out of 6 stars,RateBook
3,['I want to give the current textbook 0 out of 6 stars'],RateBook
4,add something so right to lora s 80s classic hits playlist,AddToPlaylist
5,['add VAN_SUSTEREN_Well so right to lora €_™ 80s timelessly_elegant Starter_Gavin_Floyd playlist'],AddToPlaylist
6,i m looking for circus world,SearchCreativeWork
7,['i x m looking for circus entertainment world'],SearchCreativeWork
8,i give this book dictionary of the english language a 4 rating,RateBook
9,['i give this the book dictionary of using the english language with a perfect 4 rating'],RateBook
10,phyllis ward and veronica need a table at a restaurant in 152 days,BookRestaurant
11,['phyllis ward and speedwell need a table at a restaurant in 152 days'],BookRestaurant
12,what is the forecast in north carolina,GetWeather
13,['what be the forecast in north carolinas'],GetWeather
14,find movie schedules for star theatres,SearchScreeningEvent
15,['link find online movie schedules for star theatres'],SearchScreeningEvent
16,i want to hear some songs from the twenties,PlayMusic
17,['i youwant to scream some songs fro the twenties'],PlayMusic
18,play dance with the devil by mr  lordi,PlayMusic
19,['play waltz_fox_trot with the antichrists Rebekah_Forsyth_##:##_MISSED mr lordi'],PlayMusic
20,add people take pictures of each other to rhythm and blues playlist,AddToPlaylist
21,['these add people together take pictures of the each scale other to rhythm and blues playlist'],AddToPlaylist
22,find a movie called living in america,SearchCreativeWork
23,['Find a movie called Living in America'],SearchCreativeWork
24,i need films in the neighborhood,SearchScreeningEvent
25,['ace need film in the neighborhood'],SearchScreeningEvent
26,play the tv show wicked city,SearchCreativeWork
27,"[""AJ'sa just tv show wicked city""]",SearchCreativeWork
28,will it be a snowy day in dalcour,GetWeather
29,['testament information technology be a snow white day in dalcour'],GetWeather
30,i need a table in uruguay in 213 days when it s chillier,GetWeather
31,['i need a table in modern uruguay back in 213 perfect days when even it was s chillier'],GetWeather
32,what are the movie times for films nearby,SearchScreeningEvent
33,['What are the film times for nearby movies?'],SearchScreeningEvent
34,book a table at grecian coffee house for 7 on apr  7th  2024,BookRestaurant
35,['complete book a table at grecian wine coffee house for 7 on 2 apr 8th 7th of 2024'],BookRestaurant
36,what s the weather here at 2 pm,GetWeather
37,['what s the weather hither at deuce atomic number 61'],GetWeather
38,tell me when it will be humid here,GetWeather
39,['exclaim_Wow them when it will be sunny_breezy here'],GetWeather
40,book a restaurant that serves agnolotti in colorado city idaho,BookRestaurant
41,['book a restaurant version that serves the agnolotti in greater colorado city area idaho'],BookRestaurant
42,add child owlet to my sleep sounds playlist,AddToPlaylist
43,['add child friendly owlet song to my favorite sleep sounds playlist'],AddToPlaylist
44,rate the deception chronicle one of 6 points,RateBook
45,['charge per unit the deception chronicle peerless of 6 point'],RateBook
46,i need to take three people to eat,BookRestaurant
47,['one need to take 3 people to eat'],BookRestaurant
48,play the last chant from the fourties,PlayMusic
49,['play the last chorale from the forties'],PlayMusic
50,book a reservation for 1 at a diner in wi,BookRestaurant
51,['i book a surprise reservation for 1 at a better diner in wi'],BookRestaurant
52,play the god that failed on vimeo,PlayMusic
53,['Play the God Who Failed on Vimeo'],PlayMusic
54,i d like to eat at the best restaurant,BookRestaurant
55,['i d actually like to some eat at the best seafood restaurant'],BookRestaurant
56,play a tune from space mandino,PlayMusic
57,['Play a tune from outer space Mandino'],PlayMusic
58,i d like to reserve a table in northcote,BookRestaurant
59,['i need d sure like to reserve a corner table in northcote'],BookRestaurant
