,text,intent
0,find the schedule for nearby animated movies,SearchScreeningEvent
1,['Find the schedule for nearby animated films'],SearchScreeningEvent
2,add digging now to my young at heart playlist,AddToPlaylist
3,['add digging now to my new at heart playlist'],AddToPlaylist
4,can you play some music by andrew diamond,PlayMusic
5,['can you take on some euphony by andrew infield'],PlayMusic
6,add the album to the hot 50 playlist,AddToPlaylist
7,['add the Zonoscope to the hot_humid 50 iTunes_playlists'],AddToPlaylist
8,put jean philippe goncalves onto my running to rock 170 to 190 bpm,AddToPlaylist
9,['jean philippe goncalves put on my race to rock 170 to 190 bpm'],AddToPlaylist
10,put a paul hardcastle song in my classic jazz funk playlist,AddToPlaylist
11,['add a paul hardcastle song to my classical jazz funk playlist'],AddToPlaylist
12,rate the current book novel 5 out of 6,RateBook
13,['Rating of the current book novel 5 from 6'],RateBook
14,i need to book a table at brasserie for 10 that is highly rated in kentucky,BookRestaurant
15,['i wants to book a ratifiable_agreement at brasserie LMF_Mayo 10 amiss_Vernarelli is manner rated in kentucky'],BookRestaurant
16,find me an album called rejoicing with the light,SearchCreativeWork
17,['find me quasi album called rejoicing with during flashing_amber'],SearchCreativeWork
18,rate this textbook 2 out of 6,RateBook
19,['rate up this best textbook version 2 out of 6'],RateBook
20,i would like to book a restaurant for two in 42 weeks from now in wagram,BookRestaurant
21,"[""i would like to al qur'an a restaurant for two in xlii week from now in wagram""]",BookRestaurant
22,book spot for six  at 8 pm at a coffeehouse in ne that serves hog fry,BookRestaurant
23,['book spot happens for the six at 8 1 pm at a coffeehouse in downtown ne chicago that serves hog dogg fry'],BookRestaurant
24,i d like reservations for two at a pizzeria  22 weeks from now,BookRestaurant
25,['I would like to make a reservation for two people in a pizzeria in 22 weeks'],BookRestaurant
26,please play the most popular ep from 1998 by mc frontalot,PlayMusic
27,['delight play the most pop ep from 1998 by megahertz frontalot'],PlayMusic
28,please help me find  bend it like beckham the musical,SearchCreativeWork
29,['Please help me find it as it beckons for the musical'],SearchCreativeWork
30,add take me back to dear old blighty to my dinner playlist,AddToPlaylist
31,['add take me back to dear previous blighty to my dinner party playlist'],AddToPlaylist
32,what are the movie times at the malco theatres,SearchScreeningEvent
33,['what are all the midnight movie times at the malco opera theatres'],SearchScreeningEvent
34,rate the current textbook 0 out of 6,RateBook
35,['xiii_fluctuating_currency the current Phumbhra 0 out of Reception_Thurs'],RateBook
36,i d like to watch take this waltz,SearchScreeningEvent
37,['i d like her to watch her take this away waltz'],SearchScreeningEvent
38,add michael wittig music to country icon playlist,AddToPlaylist
39,['add michael wittig euphony to country ikon playlist'],AddToPlaylist
40,rate this book the book of snobs 1 points,RateBook
41,['1 rate 1 this book the book book of snobs has 1 points'],RateBook
42,find the girlfriend experience  a television show,SearchCreativeWork
43,['find the girl experience a television display'],SearchCreativeWork
44,book me a table for 3 at tkk fried chicken in sri lanka,BookRestaurant
45,['account book me a tabular array for terzetto at tkk fried chicken in sri lanka'],BookRestaurant
46,play a track by yui on vimeo,PlayMusic
47,['act a cart track by yui on vimeo'],PlayMusic
48,list movie times at megaplex theatres,SearchScreeningEvent
49,['sortable_database Tranformers times at megaplex theatres'],SearchScreeningEvent
50,i want to hear the new latin pop rising list,PlayMusic
51,['i want to hear By_Cody_Kraatz modern latin star_LILY_ALLEN rising list'],PlayMusic
52,find a novel called twins of evil,SearchCreativeWork
53,['find was a novel tentatively called twins sons of evil'],SearchCreativeWork
54,play pirates of the caribbean online,SearchCreativeWork
55,['Play Pirates of the Caribbean online'],SearchCreativeWork
56,can you put on like a hurricane by paul landers,PlayMusic
57,['can you dress like a hurricane from paul landers'],PlayMusic
58,play music from 2000 on spotify,PlayMusic
59,['Bonjokian music from 2000 where spotify'],PlayMusic
60,add the singer ivan roudyk to my fairy tales playlists,AddToPlaylist
61,['add the vocalizer ivan roudyk to my queen tales playlists'],AddToPlaylist
62,tell me the weather forecast for sugarloaf provincial park ten weeks from now,GetWeather
63,['tell me the weather prognosis for sugarloaf provincial park x workweek from straightaway'],GetWeather
64,please start playing some thirties theme music,PlayMusic
65,['please start toy some thirties theme euphony'],PlayMusic
66,which movie theatre with clean and sober is closest to me,SearchScreeningEvent
67,['which cinema with clean and sober comes closest to me'],SearchScreeningEvent
68,what are the times for the gingerbread man,SearchScreeningEvent
69,['what year are the times again for the sunday gingerbread man'],SearchScreeningEvent
70,i want to listen to the song only the greatest,SearchCreativeWork
71,"[""i why_wouldn'tI to listen to the Soulja_Girl only Therein_lay greatest""]",SearchCreativeWork
72,play deezer form 2010 tune by dave grohl,PlayMusic
73,['play deezer form 2010 tune by dave grohl'],PlayMusic
74,book a reservation at tavern for noodle,BookRestaurant
75,['book a reservation at tavern for noodle'],BookRestaurant
76,add the blurred crusade to crate diggers anonymous,AddToPlaylist
77,['sometimes add the sometimes blurred crusade to crate diggers help anonymous'],AddToPlaylist
78,how to get saga stronda style,SearchCreativeWork
79,['precisely to get saga stronda Costumes_ranged'],SearchCreativeWork
80,i want to add michelle heaton to this is chopin,AddToPlaylist
81,['i want to sum michelle heaton to this is chopin'],AddToPlaylist
82,looking for a novel called death march,SearchCreativeWork
83,['Search for a novel called Death March'],SearchCreativeWork
84,is it supposed to be chilly in boiling spring lakes,GetWeather
85,['is it if to once seasonably_cold in boiling spring lakes'],GetWeather
86,humidity not far from colorado city on november the 7th  2024,GetWeather
87,['with humidity up not far from colorado city on november 18 the entire 7th 2024'],GetWeather
88,make a booking for the highly rated food court in montenegro,BookRestaurant
89,['Book for the prestigious food court in Montenegro'],BookRestaurant
90,what will the weather be like on aug  the 8th  2032 here,GetWeather
91,"['how will the weather be here on August 8, 2032']",GetWeather
92,show me the picture totally true love,SearchCreativeWork
93,['show pine tree state the movie altogether true love'],SearchCreativeWork
94,rate the sneetches and other stories a three,RateBook
95,['charge per unit the sneetches and other story a three'],RateBook
96,put another song in the cloud rap playlist,AddToPlaylist
97,['Add another song to the cloud rap playlist'],AddToPlaylist
98,play the song remains the same with pandora,PlayMusic
99,['play out the song remains the same story with radio pandora'],PlayMusic
100,put a rating on this book of three,RateBook
101,['rip a rating Your_Vents this ebook of three'],RateBook
102,i d like seats for ten at a highly rated brasserie in kyrgyzstan,BookRestaurant
103,"[""I'd like ten seats in a highly rated brasserie in Kyrgyzstan""]",BookRestaurant
104,i would give this current novel a value of 3 and a rating of 6,RateBook
105,['atomic number 53 would give this current novel a value of deuce ace and a rating of sixer'],RateBook
106,will the sun be out in 1 minute in searcy  uganda,GetWeather
107,['the sun will be out in 1 minute in searcy uganda'],GetWeather
108,find the movie schedule for marcus corporation,SearchScreeningEvent
109,['Find the game plan for marcus corporation'],SearchScreeningEvent
110,what is the forecast in nicodemus and nearby,GetWeather
111,['why is the FY##_EPS_guidance Moderate_Earthquake_Shakes nicodemus and nearby'],GetWeather
112,add the artist adam deibert to my perfect concentration playlist,AddToPlaylist
113,['add the artist adam deibert to my perfect concentration playlist'],AddToPlaylist
114,rate myths of the near future three points,RateBook
115,['charge per unit myths of the near future three point'],RateBook
116,for my crossfit playlist add the soul sessions volume 2,AddToPlaylist
117,['for my crossfit play list add the soul seance volume 2'],AddToPlaylist
118,please help me search the tv series a mouse divided,SearchCreativeWork
119,['please assist pine tree state look the tv series a mouse divided'],SearchCreativeWork
120,add song in my playlist dance workout,AddToPlaylist
121,['Add song to my playlist Dance training'],AddToPlaylist
122,play me hier encore by greydon square,PlayMusic
123,['play me sa hier... encore directed by greydon square'],PlayMusic
124,can i get the times for movies in the neighbourhood,SearchScreeningEvent
