,text,intent
0,add this artist to my post-grunge playlist,AddToPlaylist
1,['add off this artist to become my favourite post - teen grunge playlist'],AddToPlaylist
2,give 1 point to current textbook,RateBook
3,['give 1 point compare to your current textbook'],RateBook
4,play twenties symphony from robert walter,PlayMusic
5,['play twenties symphony from robert bruno walter'],PlayMusic
6,reserve in bermuda a food court near jan and i,BookRestaurant
7,['reserve in bermuda a food court near jan and i'],BookRestaurant
8,what animated movies are playing in the area and what is the movie schedule,SearchScreeningEvent
9,['Which animated films are shown in the area and what is the schedule?'],SearchScreeningEvent
10,find a painting called satisfaction is the death of desire,SearchCreativeWork
11,['incur a painting called satisfaction is the death of desire'],SearchCreativeWork
12,find an album called just call me stupid,SearchCreativeWork
13,['i find us an album called and just call me stupid'],SearchCreativeWork
14,please put linzi stoppard into my sxsw fresh playlist,AddToPlaylist
15,['Please add linzi stoppard to my sxsw fresh playlist'],AddToPlaylist
16,add a gackt camui track to the white noise playlist,AddToPlaylist
17,['add together a gackt camui track to the white noise play list'],AddToPlaylist
18,a rating of four out of 6 goes to memory in death,RateBook
19,['a rating_IDR of fourteen out of 6 goes to 8GB_NAND_flash in plunder_non_bailable'],RateBook
20,can you play top zvooq by fink,PlayMusic
21,['can someone play best zvooq by hhh'],PlayMusic
22,set an reservation for a party of eight at the bar on 8/8/2039,BookRestaurant
23,['we set an reservation for making a visiting party of around eight at the bar morning on 8 / 14 8 / 2039'],BookRestaurant
24,during tea time  what animated movies will be screening at the closest movie house,SearchScreeningEvent
25,['during great tea giving time what animated movies won will also be screening at the closest movie viewing house'],SearchScreeningEvent
26,i need the wather for next week in the philippines,GetWeather
27,['i need even the letter wather for lunch next week back in the philippines'],GetWeather
28,i m hoping to find a table for six at a pub on jul  19  2029,BookRestaurant
29,"['I hope to find a table for six in a pub on July 19, 2029']",BookRestaurant
30,can i see ellis island revisited in 1 minute,SearchScreeningEvent
31,['can i believe whitney Ma_vehemently_denies revisited in 1 minute'],SearchScreeningEvent
32,can you look up the molecular oncology saga,SearchCreativeWork
33,['can you look up the history of molecular oncology?'],SearchCreativeWork
34,contemporary religious satanism gets a 3 rating,RateBook
35,['our contemporary religious review satanism always gets a 3 rating'],RateBook
36,i want to hear some sixties  melody from mark mcentee off of google music,PlayMusic
37,['im Do to hear some Madchester melody fromt mark mcentee expert_Ian_Recchio of google music'],PlayMusic
38,rate the current series a 4,RateBook
39,['charge per unit the current series a 4'],RateBook
40,book a reservation for 8 people in wardville  kansas,BookRestaurant
41,['book a reservation for around 8 500 people in wardville creek kansas'],BookRestaurant
42,i need to add an artist to one of my playlists  classical new releases spotify picks,AddToPlaylist
43,['i need to overwhelm analyzed_ad_nauseam artist to one of Holy_geez playlists Carnatic_classical new Crying_Lightning spotify picks'],AddToPlaylist
44,how can i view the show corpus: a home movie about selena,SearchCreativeWork
45,['how can i view the Totally_Boyband Rs8_crore: a home movie Kate_Foellmi ashley'],SearchCreativeWork
46,will it be temperate next wed  in athol in the federated states of micronesia,GetWeather
47,['Will it be moderate next year in the federated states of Micronesia?'],GetWeather
48,book the tea house on north river,BookRestaurant
49,['scripture the tea firm on north river'],BookRestaurant
50,give zero out of 6 to the current album,RateBook
51,['gives the current album zero out of 6'],RateBook
52,add the artist cho kyu hyun to funky jams,AddToPlaylist
53,['add the artist cho cho kyu... hyun sung to 2 funky jams'],AddToPlaylist
54,give this book 2 out of 6 stars,RateBook
55,['give this and book 2 3 out of 6 5 stars'],RateBook
56,want to watch the tv show treeful of starling,SearchCreativeWork
57,['want to glued QThe tv theshow treeful of starling'],SearchCreativeWork
58,where is the closest cinema that is playing the honeymoon killers,SearchScreeningEvent
59,['roughly_equidistant is the closest cinema some is playing sported_Steeler romantic_getaways killers'],SearchScreeningEvent
60,use the last fm service to play a mis niños de 30,PlayMusic
61,['use the last fm service to dally a mis niños de 30'],PlayMusic
62,give this chronicle a 2 rating,RateBook
63,['give this chronicle a three Maintained_Buy'],RateBook
64,get me the procession of ants tv show,SearchCreativeWork
65,['get me the progression of emmet telly show'],SearchCreativeWork
66,look for the tv series jersey boys,SearchCreativeWork
67,['in search of the TV series jersey boys'],SearchCreativeWork
68,where s the nearest movie house playing no trains no planes,SearchScreeningEvent
69,['where managementâ_€_™ the nearest Omen_remake house toplay no railways no planes'],SearchScreeningEvent
70,what are some close by animated movies showing,SearchScreeningEvent
71,['What are some in the vicinity of animated films that'],SearchScreeningEvent
72,play disco tango to power walk,AddToPlaylist
73,['play another disco tango to power song walk'],AddToPlaylist
74,is it going to be foggy in box elder  rhode island,GetWeather
75,['is all it actually going to rather be foggy in box at elder rhode island'],GetWeather
76,will there be rain in 8 minutes  in md,GetWeather
77,['will exists be rain including to7 minutes in md'],GetWeather
78,find the creative work deadly weapons,SearchCreativeWork
79,['find tothe creative work deadly artillery_rockets'],SearchCreativeWork
80,play the album vibrations by marion elise raven,PlayMusic
81,['play the album vibrations of marion elise raven'],PlayMusic
82,what s the weather in ecola state park in three minutes,GetWeather
83,['How will the weather in the Ökoland-Park be in three minutes?'],GetWeather
84,i d like to see hannah montana and miley cyrus: best of both worlds concert,SearchCreativeWork
85,[':-( d like to Cassell_chirped hannah montana and miley cyrus: smoothest of split imaginary_worlds concert'],SearchCreativeWork
86,put coming back to life onto winter music,AddToPlaylist
87,['he put you coming back to life onto winter mountain music'],AddToPlaylist
88,where can i see a slice of life,SearchScreeningEvent
89,['where can you i see a slice instead of mine life'],SearchScreeningEvent
90,i d give the hundred thousand kingdoms a three of 6,RateBook
91,['i d collapse the c 1000 kingdoms a three of sise'],RateBook
92,please get me the henderson kids saga,SearchCreativeWork
93,['please stimulate pine tree state the henderson tyke saga'],SearchCreativeWork
94,what time is holiday heart showing at the movie house,SearchScreeningEvent
95,['what time is your holiday heart a showing at the movie show house'],SearchScreeningEvent
96,will it be warmer in north korea at nineteen o clock,GetWeather
97,['will it cost warmer in north dae han min gook at xix o clock'],GetWeather
98,add an album in sweet soul chillout,AddToPlaylist
99,['inject an Good_Morning_Revival in sweet soul jamz'],AddToPlaylist
100,i would give the minority report a rating of 0 points,RateBook
101,['i would later give the us minority impact report a rating of 0 35 points'],RateBook
102,weather for knierim kansas in twelve weeks and a half from now,GetWeather
103,['Weather for Kansas in twelve-and-a-half weeks'],GetWeather
104,can you find me the work titled music for millions,SearchCreativeWork
105,"[""can Shouldn'tI indentify me the work titled music for Tens""]",SearchCreativeWork
106,add bob klose to la mejor música para tus fiestas,AddToPlaylist
107,['add bob klose to su la bella mejor musica en para a tus los fiestas'],AddToPlaylist
108,when and where can i watch national priority,SearchScreeningEvent
109,['after and adjacent can i mail_Sarandos national priority'],SearchScreeningEvent
110,add the track to the metal talks metallica playlist,AddToPlaylist
111,['bestow the racecourse to the metal talks metallica playlist'],AddToPlaylist
112,what films are playing at 11 a m  at dickinson theatres,SearchScreeningEvent
113,['what films make up play at 11 a mebibyte at dickinson theatres'],SearchScreeningEvent
114,show creative photograph of icewind dale: heart of winter,SearchCreativeWork
115,['acerbic_Simon_Cowell creativity photograph of icewind Skiddaw: heart of winter'],SearchCreativeWork
116,i need a reservation for cashel palace hotel in california for a party of 9,BookRestaurant
117,['i need a reservation for cashel castle hotel in california for a company of nine'],BookRestaurant
118,book me a reservation for a pub in cormorant for a party of nine,BookRestaurant
119,['book me only a dinner reservation for a romantic pub night in cormorant point for throwing a party of nine'],BookRestaurant
120,rate the deception chronicle one of 6 points,RateBook
121,['charge per unit the deception chronicle peerless of 6 point'],RateBook
122,will it be chilly in oakdale ok,GetWeather
123,['will may it be chilly in central oakdale south ok'],GetWeather
124,is there a storm now in nc,GetWeather
125,['is fatigue_Zelizer a storm GLENN_GREENWALD in htdocs'],GetWeather
126,i am giving this current book album 0 out of 6 stars,RateBook
127,['I give this current book album 0 out of 6 stars'],RateBook
