,text,intent
0,play me a track by steve souza,PlayMusic
1,['play me a track by steve souza'],PlayMusic
2,search for the trailer for the office,SearchCreativeWork
3,['Realtime_Search for the trailer Debatable_Should the prothonotary_office'],SearchCreativeWork
4,use the service zvooq to play merengue music,PlayMusic
5,['Use of the zvooq service to play merengue music'],PlayMusic
6,play me a maia hirasawa soundtrack from 1951,PlayMusic
7,['play me a 2010 maia hirasawa soundtrack adaptation from his 1951'],PlayMusic
8,rate the book dreams of the raven 5 stars,RateBook
9,['rate the book joys of the winged 5 Song_Seung_heon'],RateBook
10,add the song to the martin garrix show  playlist,AddToPlaylist
11,['add sported_Steeler song to we martin garrix shown playlist'],AddToPlaylist
12,rate betrayer of worlds 1 out of 6,RateBook
13,['rate betrayer wealth of worlds 1 album out 5 of 6'],RateBook
14,play some anneliese van der pol from the thirties on groove shark,PlayMusic
15,['play some anneliese van der pol from the thirty on groove shark'],PlayMusic
16,what s the weather in ecola state park in three minutes,GetWeather
17,['How will the weather in the Ökoland-Park be in three minutes?'],GetWeather
18,add the song to my we everywhere playlist,AddToPlaylist
19,['add up the birdsong to my we everywhere playlist'],AddToPlaylist
20,book a table for my step father and i,BookRestaurant
21,['account book a table for my stair father and i'],BookRestaurant
22,look for hail satanas we are the black legions,SearchCreativeWork
23,['look for hail satanas SERENA_WILLIAMS_Well are By_Christine_Fenno powder_muskets legions'],SearchCreativeWork
24,i want to eat choucroute at a brasserie for 8,BookRestaurant
25,['i want to eat boudin_noir Wheatridge_Middle a Parisian_bistro for 8'],BookRestaurant
26,i give the battle of bretton woods saga two of 6 stars,RateBook
27,['could i give the battle of her bretton woods medieval saga two kind of 6 stars'],RateBook
28,who rated the book women  culture  and society only 3 stars,RateBook
29,['world health organization rat the bible women culture and society simply 3 stars'],RateBook
30,what is the forecast for this afternoon for blizzard conditions in dieterich chad,GetWeather
31,['what is the forecast for berlin this afternoon for having blizzard road conditions in its dieterich castle chad'],GetWeather
32,rate the current novel four out of 6 points,RateBook
33,['rate the current novel four prohibited of 6 points'],RateBook
34,add the artist borys ljatoschynskyj to my under the surface playlist,AddToPlaylist
35,['add the artist borys ljatoschynskyj to my under the open play list'],AddToPlaylist
36,i m looking for the music of nashville: season 3 saga,SearchCreativeWork
37,['where i m currently looking for her the music of nashville : season finale 3 saga'],SearchCreativeWork
38,show me the painting live – very live in concert,SearchCreativeWork
39,['show me merely painting live – very living in Jacques_Thibaud_String_Trio'],SearchCreativeWork
40,can i listen to merengue style music,PlayMusic
41,['can i even listen completely to merengue dance style music'],PlayMusic
42,please search the an introduction to karl marx painting,SearchCreativeWork
43,['please search from the an illustrated introduction to karl marx against painting'],SearchCreativeWork
44,put on vimeo and play kacapi suling,PlayMusic
45,['turned on YumSugar_Community and Bonjokian kacapi suling'],PlayMusic
46,give the creator zero points out of 6,RateBook
47,['Give the creator zero out of 6 points'],RateBook
48,table for 8 at a popular food court,BookRestaurant
49,['Table for 8 people on a popular food court'],BookRestaurant
50,what films are playing at 11 a m  at dickinson theatres,SearchScreeningEvent
51,['what films make up play at 11 a mebibyte at dickinson theatres'],SearchScreeningEvent
52,i need some hardcore hip hop,PlayMusic
53,['i need some hardcore rosehip hops'],PlayMusic
54,play a ballad by bob johnston,PlayMusic
55,['play a modern ballad by englishman bob johnston'],PlayMusic
56,will there be a blizzard in north carolina,GetWeather
57,['testament there exist a blizzard in north carolina'],GetWeather
58,show creative picture of wonderful town,SearchCreativeWork
59,['show originative picture of marvellous town'],SearchCreativeWork
60,add a song to indie hipster,AddToPlaylist
61,['add as a song key to an indie hipster'],AddToPlaylist
62,what is the forecast for here,GetWeather
63,"[""What's the forecast for here?""]",GetWeather
64,show the movie schedules in the neighborhood,SearchScreeningEvent
65,['Show the movie dates in the neighborhood'],SearchScreeningEvent
66,book me a pub nine weeks from now for 4 people,BookRestaurant
67,['he book me on a pub nine weeks from four now for 4 extra people'],BookRestaurant
68,play the birds and the bees by ceca,PlayMusic
69,['the birds and the bees of ceca play'],PlayMusic
70,play pacific ocean blues by john doe on lastfm,PlayMusic
