,text,intent
0,open itunes and play ben burnley ready to die,PlayMusic
1,['open itunes channel and play a ben burnley ready to let die'],PlayMusic
2,will it be hot here at 22 o clock,GetWeather
3,['will it not be terribly hot sitting here at 22 o clock'],GetWeather
4,please tell me the forecast for here,GetWeather
5,['please tell pine tree state the prognosis for here'],GetWeather
6,use the service zvooq to play top-10 by artist coolio,PlayMusic
7,['use the service zvooq to play top - decade by artist coolio'],PlayMusic
8,give hindu temples: what happened to them a 5 out of 6 stars,RateBook
9,['present hindu temple: what happened to them a pentad extinct of 6 stars'],RateBook
10,will there be a blizzard here on dec  26  2027,GetWeather
11,"['There will be a blizzard here on December 26, 2027']",GetWeather
12,add this artist to the laugh list,AddToPlaylist
13,['now add this younger artist to the laugh gallery list'],AddToPlaylist
14,i want to give the plague lords of ruel 0 stars,RateBook
15,['i want to render the pestilence creator of ruel 0 stars'],RateBook
16,book a delicatessen that is indoor for 3,BookRestaurant
17,['Book a delicatessen for 3 persons'],BookRestaurant
18,book a reservation for an osteria restaurant for 4 people on november 4,BookRestaurant
19,['Book a reservation for a Osteria restaurant for 4 people on November 4'],BookRestaurant
20,add the artist cho kyu hyun to funky jams,AddToPlaylist
21,['add the artist cho cho kyu... hyun sung to 2 funky jams'],AddToPlaylist
22,i want to hear a symphony from kano,PlayMusic
23,['I want to hear a symphony of kano'],PlayMusic
24,rate the current series a 4,RateBook
25,['charge per unit the current series a 4'],RateBook
26,find a movie house closest showing operation: kingdom,SearchScreeningEvent
27,['find a movie palatial_mansion closest touting Operation_Chapera: kingdom'],SearchScreeningEvent
28,find a movie schedule for united paramount theatres,SearchScreeningEvent
29,['find a indie_flick Playoff_pairings for## united paramount theatres'],SearchScreeningEvent
30,give this album 4 of 6 points,RateBook
31,['afford this album quatern of 6 points'],RateBook
32,find the schedule for the comedian at santikos theatres,SearchScreeningEvent
33,"[""Find the Comedian's Schedule in Santikos Theatres""]",SearchScreeningEvent
34,locate me the novel entitled isthmus,SearchCreativeWork
35,['who locate in me the novel entitled beyond isthmus'],SearchCreativeWork
36,add the 40 cal tune to the laundry playlist,AddToPlaylist
37,['add all the 40 and cal tune out to the laundry playlist'],AddToPlaylist
38,give two stars out of 6 to 36 children,RateBook
39,['give two it stars got out ratings of 6 to 36 children'],RateBook
40,book a food court for 5 serving african food,BookRestaurant
41,['book a tinned_vegetables court for 5 Ionia_Maximum_Correctional_Facility african meat'],BookRestaurant
42,i need to add to my infinite indie folk list the works of rahim shah,AddToPlaylist
43,['i need to completely add to that my seemingly infinite favorite indie folk list are the works of rahim shah'],AddToPlaylist
44,add richard sohl to dinner for 2,AddToPlaylist
45,['add armstrong sohl to dinner depriving #x##BD'],AddToPlaylist
46,find me a soundtrack by ghost town prophecy,SearchCreativeWork
47,['find maine a soundtrack by ghost townsfolk prophecy'],SearchCreativeWork
48,i m looking for a movie called salvage mice,SearchCreativeWork
49,['i_dnt m waiting for a movie called foundering mice'],SearchCreativeWork
50,what time is irreconcilable differences playing regal entertainment group,SearchScreeningEvent
51,['Julian_Radbourne_editorial time should irreconcilable differing playing regal entertainment group'],SearchScreeningEvent
52,rate the blood on the moon saga a three,RateBook
53,['Guess the Blood on the Moon saga a a three'],RateBook
54,i need to book a top-rated steakhouse this autumn  for 1 around azerbaijan,BookRestaurant
55,['i_kno Jason_Heywards to book a tops - rated steakhouse this autumn for 8 here azerbaijan'],BookRestaurant
56,put the joy division the complete bbc recordings on 40 hits,AddToPlaylist
57,['position the pleasure division the complete bbc recordings on forty hits'],AddToPlaylist
58,is it colder faraway from my current spot,GetWeather
59,['is was it colder faraway from attending my current meeting spot'],GetWeather
60,add an album in sweet soul chillout,AddToPlaylist
61,['inject an Good_Morning_Revival in sweet soul jamz'],AddToPlaylist
62,rate the current novel four out of 6 points,RateBook
63,['rate the current novel four prohibited of 6 points'],RateBook
64,for the current chronicle i give five of 6,RateBook
65,['for naming the current current union chronicle i give five of 6'],RateBook
66,please put this tune into the all a cappella playlist,AddToPlaylist
67,['please put this tune into the all a cappella play list'],AddToPlaylist
68,find the schedule for the solitude of prime numbers at the nearest cinema in 1 hour,SearchScreeningEvent
69,['find the schedule for the purdah of quality numbers at the nearest film in 1 hr'],SearchScreeningEvent
70,will it be chillier at 06:05:48 in wagener réunion,GetWeather
71,['it gets cooler at 06: 05: 48 in wagener réunion'],GetWeather
72,find me a table for 8 people at a nearby al restaurant one minute from now,BookRestaurant
73,['find by me a table available for 8 people at a hotel nearby al restaurant only one extra minute from now'],BookRestaurant
74,rate the current book a three,RateBook
75,['rate the current book a terzetto'],RateBook
76,i want to listen to an ep from 1998,PlayMusic
77,['cd i want others to listen to an unknown ep from 1998'],PlayMusic
78,what animated movies are playing nearby,SearchScreeningEvent
79,['what animated movies be bet nearby'],SearchScreeningEvent
80,i d like to see the painting i looked up,SearchCreativeWork
81,['i d similar to see the painting 1 looked up'],SearchCreativeWork
82,restaurant in bulgaria this week party for 9 numbers,BookRestaurant
83,['delicatessen Enlarge_Pic bulgaria this week party for 9 #-#-##-##-##'],BookRestaurant
84,is the mystical adventures of billy owens playing at the closest movie house,SearchScreeningEvent
85,"['is the mystical adventure of Billy Owens, who plays in the nearest cinema']",SearchScreeningEvent
86,add a track to summer of love,AddToPlaylist
87,['Add a Trace to Summer of Love'],AddToPlaylist
88,add circus to my post garage wave revival list,AddToPlaylist
89,"[""gussy circus to Why_couldn'tI post apartment wave revival list""]",AddToPlaylist
90,add the name as with gladness men of old to my ultimate 90s playlist,AddToPlaylist
91,['add the mans name even as with the gladness men of old to create my ultimate 90s ac playlist'],AddToPlaylist
92,what animated movies are playing in the neighbourhood and when,SearchScreeningEvent
93,['what animated movies are in playing kid in the neighbourhood about and when'],SearchScreeningEvent
94,can you add a track by david wolfenberger to janell s all funked up playlist,AddToPlaylist
95,['can you add a track by david wolfenberger to janell s all funked upward playlist'],AddToPlaylist
96,add tune to punk español,AddToPlaylist
97,['Add melody to punk español'],AddToPlaylist
98,tell me the predicted weather once i travel faraway to crimson lake provincial park,GetWeather
99,['separate maine the predicted weather in one case ane travel faraway to crimson lake provincial park'],GetWeather
100,i d like to see the television show best-of: design of a decade 2003–2013,SearchCreativeWork
101,['that i was d like to see at the television talent show best - of : poster design record of a decade 2003 – 2013'],SearchCreativeWork
102,please search for the tv show  the best of white lion,SearchCreativeWork
103,['Please search for the TV show The Best of the White Lion'],SearchCreativeWork
104,play top-50 eighties theme from alain caron,PlayMusic
105,['sport top - 50 80 theme from alain caron'],PlayMusic
106,i am rating book of challenges four stars,RateBook
107,['i TCM_Mon rating book of challenges fifty luminaries'],RateBook
108,i would give superman: doomsday & beyond four stars and a best rating of 6,RateBook
109,['dos_santos would lends superman: Judgment_Day & beyond several stars and a best rating of 8/adult'],RateBook
110,what s the weather in new zealand,GetWeather
111,['how is the weather in new zealand'],GetWeather
112,add no prejudice to 90s indie,AddToPlaylist
113,['add and no white prejudice to 90s indie'],AddToPlaylist
114,add in the heart of the world to the epic gaming playlist,AddToPlaylist
115,['add in all the heart valley of the world to all the epic internet gaming playlist'],AddToPlaylist
116,find the panic in needle park,SearchScreeningEvent
117,['Find the Panic in the Needle Park'],SearchScreeningEvent
118,what is the forecast for here,GetWeather
119,"[""What's the forecast for here?""]",GetWeather
120,what is the weather like within walking distance of the bothwell lodge state historic site,GetWeather
121,['what snow is in the weather like within walking distance as of to the former bothwell lodge state historic site'],GetWeather
122,play dawn richard song white summer,PlayMusic
123,['band play dawn richard song on white summer'],PlayMusic
124,show me the game english freakbeat,SearchCreativeWork
125,['Show me the English freakbeat of the game'],SearchCreativeWork
126,i want to book a restaurantin perrytown missouri for candice  jeannie and nichole,BookRestaurant
127,['i want to hear book at a fine restaurantin perrytown hotel missouri for some candice jeannie baker and nichole'],BookRestaurant
128,rate the tropic of cancer book a 2 out of 6,RateBook
129,['average the grows_abundantly of neuroblastoma book a 2 outside of 6'],RateBook
130,book a jewish churrascaria in minnesota for 9 people,BookRestaurant
131,['Book a Jewish Churrascaria in Minnesota for 9 people'],BookRestaurant
132,can you give me the movie times,SearchScreeningEvent
133,['Can you give me the film times?'],SearchScreeningEvent
134,book a restaurant in seven in fort mckinley,BookRestaurant
135,['book a eating place in seven in garrison denali'],BookRestaurant
136,add the da brat track to the soak up the sun playlist,AddToPlaylist
137,['add their da brat ¼_mile_oval to the soak up the moonlight slotRadio'],AddToPlaylist
138,where can i view the photograph occasional wife,SearchCreativeWork
139,['where stool i view the photo occasional wife'],SearchCreativeWork
140,play me a 2003 song by charles neidich,PlayMusic
141,['jesus play against me a 2003 song by charles lee neidich'],PlayMusic
142,is there a snowstorm in russia,GetWeather
143,['there is a snowstorm in Russia'],GetWeather
144,add the proof album to cierra la puerta playlist,AddToPlaylist
145,['Add Proof album to cierra la puerta playlist'],AddToPlaylist
146,play the song remains the same with pandora,PlayMusic
147,['play out the song remains the same story with radio pandora'],PlayMusic
148,find the movies and movie times in the neighbourhood,SearchScreeningEvent
149,['indentify the movies and movie cycles this the neighbourhood'],SearchScreeningEvent
150,rate the current novel 5 of 6 stars,RateBook
151,['readers rate the current manga novel at 5 of 6 stars'],RateBook
152,book a table at grecian coffee house for 7 on apr  7th  2024,BookRestaurant
153,['complete book a table at grecian wine coffee house for 7 on 2 apr 8th 7th of 2024'],BookRestaurant
154,i want to book albany pump station in buckholts washington now for a party of 9,BookRestaurant
155,['i want to book albany pumping station in buckholts washington now for a party of 9'],BookRestaurant
156,give me the showtimes for sign of the anchor,SearchScreeningEvent
157,['entitle me actually showtimes for sign of the Sonni_Abatta'],SearchScreeningEvent
158,put vandemataram srinivas s track onto hiphop hot 50,AddToPlaylist
159,['Vandemataram Srinivas s track on hip hop hot 50'],AddToPlaylist
160,look for conducting from the grave,SearchCreativeWork
161,['smell for conducting from the grave'],SearchCreativeWork
162,i want to book a bougatsa restaurant in next year nearby penn for three people,BookRestaurant
163,['and i actually want to book at a new bougatsa restaurant again in next year nearby penn for three more people'],BookRestaurant
164,where can i view the photograph of johnny cool,SearchCreativeWork
165,['where any can i view is the single photograph of johnny cool'],SearchCreativeWork
166,book a table in fiji for zero a m,BookRestaurant
167,['bestselling_memoir a table in INTERIM_Prime_Minister start zero a m'],BookRestaurant
168,put a paul hardcastle song in my classic jazz funk playlist,AddToPlaylist
169,['add a paul hardcastle song to my classical jazz funk playlist'],AddToPlaylist
170,i need the weather in wakarusa,GetWeather
171,['i need one springlike_weather in wakarusa'],GetWeather
172,find santikos theatres showing animated movies,SearchScreeningEvent
173,['Here you can find Santikos Theatre with animated films'],SearchScreeningEvent
174,rate the book a girl  a man  and a river a five,RateBook
175,['charge per unit the record a girl a man and a river a five spot'],RateBook
176,can you locate west coast wrestling connection,SearchCreativeWork
177,['and can you locate the west coast live wrestling connection'],SearchCreativeWork
178,add saxophone supremacy to ofelia s calm before the storm playlist,AddToPlaylist
179,['Add saxophone superiority to the calm before the storm'],AddToPlaylist
180,around here find movie schedule for films,SearchScreeningEvent
181,['around here detect picture agenda for films'],SearchScreeningEvent
182,book a reservation for nine people at the best pub nearby tangier in six months,BookRestaurant
183,['book a Creamy_layer giving nine poeple at the best pub nearby tangier leaving eighteen months'],BookRestaurant
184,can i know what animated movies are scheduled in the neighbourhood,SearchScreeningEvent
185,['Can I know which animated films are planned in the neighbourhood?'],SearchScreeningEvent
186,will it be chilly at 11 am in loup city,GetWeather
187,['ready it be chilly Ticketmaster.com_###-###-#### 11 Information_www.runforyourlife.com in loup city'],GetWeather
188,i want to watch the show railroad model craftsman,SearchCreativeWork
189,['I would like to see the model railway exhibition'],SearchCreativeWork
190,search for the halfway home tv show,SearchCreativeWork
191,['search for the halfway Sabhnanis_Muttontown christ_sake Singer_Katharine_McPhee'],SearchCreativeWork
192,i need a reservation for a highly rated goiano restaurant in ar,BookRestaurant
193,['i need just a late reservation for a highly amateur rated goiano restaurant in sacramento ar'],BookRestaurant
194,book a restaurant in eleele on october the fifth for 3 people,BookRestaurant
195,['Gordon_Korman a restaurant atthe eleele on october for fifth for LME_STOCKS people'],BookRestaurant
196,search for the game difficult loves,SearchCreativeWork
197,['search prime the game display_pliancy loves'],SearchCreativeWork
198,i d like t add day after day to evangeline s party of the century playlist,AddToPlaylist
199,['i d like t minimal brain damage day after day to evangeline s party of the 100 play list'],AddToPlaylist
200,give 1 out of 6 points to this novel,RateBook
201,['assign 3 out of 3 points to this novel'],RateBook
202,find the mcgill law journal movie,SearchCreativeWork
203,['find before mcgill law journal Jurassic_Park_IV'],SearchCreativeWork
204,i d like to put duett onto my hot country playlist,AddToPlaylist
205,['I want to put duet on my hot country playlist'],AddToPlaylist
206,add rupee to my ultra metal playlist,AddToPlaylist
207,['subtract Refined_palmolein to my ultra metal Pandora_Slacker'],AddToPlaylist
208,add this song to my fairy tales,AddToPlaylist
209,['add it this fairy song next to my fairy tales'],AddToPlaylist
210,what is dear old girl cooper foundation,SearchScreeningEvent
211,['what is Psalms_###:# 0ld girl cooper Code_Talker_Raymond'],SearchScreeningEvent
212,rate the current book 1 of 6 points,RateBook
213,['rate the current book ### of 3 caroms'],RateBook
214,put a xiang xiang track onto women of the blues,AddToPlaylist
215,['put a xiang xiang rap track onto internet women of america the blues'],AddToPlaylist
216,tell me the weather forecast for france,GetWeather
217,['Tell me the weather forecast for France'],GetWeather
218,play an ep by zak starkey,PlayMusic
219,['play on an exclusive ep by drummer zak starkey'],PlayMusic
220,tell me the weather forecast for gibsland,GetWeather
221,['tell pine tree state the atmospheric condition prognosis for gibsland'],GetWeather
222,can you find me the work  bible translations into hawaii pidgin,SearchCreativeWork
223,['can what you find about me the work includes bible translations into google hawaii pidgin'],SearchCreativeWork
224,is las aventuras de zachary beaver at harkins theatres,SearchScreeningEvent
225,['is las aventuras de Zachary Biber at Harkins theatres'],SearchScreeningEvent
226,i want to put another album into the a peaceful rush hour playlist,AddToPlaylist
227,['I want to add another album to the quiet rush-hour playlist'],AddToPlaylist
228,play night electric night on iheart,PlayMusic
229,['play night galvanic night on iheart'],PlayMusic
230,is patrick still lives showing at amc theaters,SearchScreeningEvent
231,['is patrick still living in amc theatres'],SearchScreeningEvent
232,add this artist to my this is philip glass playlist,AddToPlaylist
233,['add this artist to my KEVIN_STREELMAN consists philip glass_tumblers playlist'],AddToPlaylist
