,text,intent
0,can you find me the naked city – justice with a bullet album,SearchCreativeWork
1,['can you only find me the naked inner city – social justice with be a bullet album'],SearchCreativeWork
2,find tv series titled a life in the death of joe meek,SearchCreativeWork
3,['find tv series titled a life in death of joe meek'],SearchCreativeWork
4,can you add a track to my spain top 50 playlist,AddToPlaylist
5,['Can you add a song to my Spanish Top 50 Playlist?'],AddToPlaylist
6,find the son of man show,SearchCreativeWork
7,['find the boy of man appearance'],SearchCreativeWork
8,show creative photograph of icewind dale: heart of winter,SearchCreativeWork
9,['acerbic_Simon_Cowell creativity photograph of icewind Skiddaw: heart of winter'],SearchCreativeWork
10,book a table for 2 at a restaurant in follett,BookRestaurant
11,['book two a surprise table for you 2 at a restaurant sold in follett'],BookRestaurant
12,book a spot for 9 at the counter,BookRestaurant
13,['playscript a spot for 9 at the riposte'],BookRestaurant
14,can you bring up the movie schedule for arclight hollywood,SearchScreeningEvent
15,['can you bring upward the movie schedule for arclight hollywood'],SearchScreeningEvent
16,i want to book tupelo honey cafe in new jersey for five people,BookRestaurant
17,['i want to book tupelo honey coffee shop in new island of jersey for five people'],BookRestaurant
18,i d like to see hannah montana and miley cyrus: best of both worlds concert,SearchCreativeWork
19,[':-( d like to Cassell_chirped hannah montana and miley cyrus: smoothest of split imaginary_worlds concert'],SearchCreativeWork
20,will i be able to watch camping-car at movie house at 6 pm,SearchScreeningEvent
21,['I will be able to see a caravan in the cinema at 6pm'],SearchScreeningEvent
22,show me the picture totally true love,SearchCreativeWork
23,['show pine tree state the movie altogether true love'],SearchCreativeWork
24,add richard mcnamara newest song to the just smile playlist,AddToPlaylist
25,['add richard mcnamara heralded song to the just grin_creasing SoundCloud'],AddToPlaylist
26,rate if tomorrow comes 2 of 6 stars,RateBook
27,['rate if the tomorrow comes rated 2 of 6 screen stars'],RateBook
28,what is the nh forecast for mexican hat,GetWeather
29,['Mr._NAVARRETTE is the dpa_bs downwards_revision for mexican hat'],GetWeather
30,please find me asking alexandria discography,SearchCreativeWork
31,['please bump me asking alexandria discography'],SearchCreativeWork
32,where can i see the trailer for love on the beat,SearchCreativeWork
33,['Where can I watch the Love Actually trailer to the beat?'],SearchCreativeWork
34,i m looking for circus world,SearchCreativeWork
35,['i x m looking for circus entertainment world'],SearchCreativeWork
36,what is the weather of new jersey palisades at three hundred three days from now,GetWeather
37,['what is is exactly the weather of five new second jersey palisades at three hundred three eighty days from shore now'],GetWeather
38,i d like to have southeastern brazilian at the pub in dominica,BookRestaurant
39,['I would like to have southeast brazilian in the pub in Dominica'],BookRestaurant
40,show me the painting live – very live in concert,SearchCreativeWork
41,['show me merely painting live – very living in Jacques_Thibaud_String_Trio'],SearchCreativeWork
42,find the creative work face down,SearchCreativeWork
43,['find the creative work with the face down'],SearchCreativeWork
44,what s the weather here on 2/7/2021,GetWeather
45,['what s every Farmer_Almanac_predicts Archived_appearances on 2 / Hillcrest_Mortuary / 2021'],GetWeather
46,play the tv show wicked city,SearchCreativeWork
47,"[""AJ'sa just tv show wicked city""]",SearchCreativeWork
48,looking for a novel called death march,SearchCreativeWork
49,['Search for a novel called Death March'],SearchCreativeWork
50,add the secret wars into the digging now playlist,AddToPlaylist
51,['add the nonsecret unwinnable_quagmire into BY_ANDY_THOMPSON digging now playlist'],AddToPlaylist
52,add black ribbons to the autumn playlis,AddToPlaylist
53,['Add black ribbons to autumn playlists'],AddToPlaylist
54,find a video game called young,SearchCreativeWork
55,['find a television game bid young'],SearchCreativeWork
56,will it be hot here at 22 o clock,GetWeather
57,['will it not be terribly hot sitting here at 22 o clock'],GetWeather
58,add count von cosels obsession to jazzy romance,AddToPlaylist
59,['add numeration von cosels obsession to jazzy romance'],AddToPlaylist
60,i want to eat close to bowlegs seven years from now,BookRestaurant
61,['I want to eat near my thighs in seven years'],BookRestaurant
62,what is the forecast for starting at three a m in two buttes for warm weather,GetWeather
63,['what remained is currently the forecast for starting at three a m mountain in two pointed buttes is for more warm weather'],GetWeather
64,what is the weather forecast in delaware,GetWeather
