,text,intent
0,when is nattbuss 807 playing at a movie theatre near me,SearchScreeningEvent
1,['when is nattbuss 807 Positionally in a Imaginary_Heroes theatre Decomposed_body me'],SearchScreeningEvent
2,play a tune from space mandino,PlayMusic
3,['Play a tune from outer space Mandino'],PlayMusic
4,give a four rating to a world apart,RateBook
5,['introduce a Seventeen rating to a repressive_societies apart'],RateBook
6,play praise the lord and pass the ammunition,PlayMusic
7,['play lavishly_praised however lord and pass the handguns_shotguns'],PlayMusic
8,can you search the picture titled the accounting,SearchCreativeWork
9,['can you search clearly picture titled last FAS_###R'],SearchCreativeWork
10,whats  the weather in fernando new jersey,GetWeather
11,['How the weather will change in Fernandos new jersey'],GetWeather
12,find mahalakshmi iyer music on netflix,PlayMusic
13,['find mahalakshmi iyer music on netflix'],PlayMusic
14,tell me the weather forecast for ut on thursday,GetWeather
15,['enjoin me the atmospheric condition forecast for greenwich time on thursday'],GetWeather
16,please add this track by paul mcguigan to the deep house playlist,AddToPlaylist
17,['please add this track by paul mcguigan to your Deep House Playlist'],AddToPlaylist
18,what animated movies are playing in thirteen hours at the closest movie theatre,SearchScreeningEvent
19,['what the animated movies those are seen playing in thirteen hours stops at the closest movie theatre'],SearchScreeningEvent
20,find a video game called family dog,SearchCreativeWork
21,['find a home video arcade game called get family dog'],SearchCreativeWork
22,i want to play the game pesterminator: the western exterminator,SearchCreativeWork
23,['hw want to play Jeff_Francouer_bounced game pesterminator: the northernmost_reaches termites'],SearchCreativeWork
24,wish to fins a television show called whole again,SearchCreativeWork
25,['then wish to design fins for a television show called whole again'],SearchCreativeWork
26,find the schedule for the band of honest men at the nearest movie theatre,SearchScreeningEvent
27,['find the schedule for the local band of honest medicine men called at and the convenient nearest movie theatre'],SearchScreeningEvent
28,is fog forecast close-by to pakistan,GetWeather
29,['is fog forecast near Pakistan'],GetWeather
30,is it going to be stormy close to australia,GetWeather
31,['isn_t it NICK_WATNEY to be stormy close to nt'],GetWeather
32,add robin trower to feminist friday playlist,AddToPlaylist
33,['add american robin trower to feminist friday playlist'],AddToPlaylist
34,please find me the saga  the deep six,SearchCreativeWork
