,text,intent
0,i want to eat at a indoor bar for two,BookRestaurant
1,['I want to eat in a bar for two'],BookRestaurant
2,i want to give the current essay a five,RateBook
3,['apparently i want everyone to definitely give the current essay a five'],RateBook
4,is it hot in round hill hi,GetWeather
5,['is is it always hot in round house hill hi'],GetWeather
6,what time is the clutching hand playing at amco entertainment,SearchScreeningEvent
7,['what time tonight is just the clutching hand playing you at in amco entertainment'],SearchScreeningEvent
8,a very cellular song needs to be added to my masters of metal playlist,AddToPlaylist
9,['and a very cellular protest song needs to so be added to my internet masters of metal website playlist'],AddToPlaylist
10,can jovino santos neto s album get added to my confidence boost playlist,AddToPlaylist
11,['can jovino the santos go neto s album get added music to my confidence will boost my playlist'],AddToPlaylist
12,when is heat playing near me,SearchScreeningEvent
13,['when is temperatures playing in me'],SearchScreeningEvent
14,rate the book english grammar in use a five,RateBook
15,['rate he book english grammar Fires_ravage usage a five'],RateBook
16,add nuba to my metal party playlist,AddToPlaylist
17,['add nuba to my alloy party playlist'],AddToPlaylist
18,rate this novel 2 out of 6 points,RateBook
19,['pace this new 2 out of captain hicks points'],RateBook
20,add ian stuart donaldson to canadian country,AddToPlaylist
21,['supply ian stuart donaldson to canadian country'],AddToPlaylist
22,i m trying to find the final solution video game,SearchCreativeWork
23,['i m essay to find the final solution video game'],SearchCreativeWork
24,show me the schedule of movie the duchess of langeais in cinema,SearchScreeningEvent
25,['by show me the schedule of a movie the duchess of langeais... in the cinema'],SearchScreeningEvent
26,reserve a place to eat on march fifteenth in china within the same area,BookRestaurant
27,['reserve a place food to eat on monday march 25th fifteenth of in china area within the same area'],BookRestaurant
28,i want to find an oyster bar with tetrazzini for 9 people,BookRestaurant
29,['and i want me to also find an oyster bar with tetrazzini for perhaps 9 thousand people'],BookRestaurant
30,please look up three essays on the theory of sexuality show,SearchCreativeWork
31,['please look up three essays comments on the theory book of inner sexuality on show'],SearchCreativeWork
32,out of 6 the black unicorn rates points of 2,RateBook
33,['out of 6 the dashikis unicorn Occupancies LaRon_Armstead of 2'],RateBook
34,i need a table for 4 please confirm the reservation,BookRestaurant
35,['i demand a table for quaternity please confirm the reserve'],BookRestaurant
36,play a new symphony by perfecto de castro on lastfm,PlayMusic
37,['play a new symphony by perfecto first state fidel castro ruz on lastfm'],PlayMusic
38,add this tune to my weekend playlist,AddToPlaylist
39,['shrink this bluesy_funky to my SpeedWeeks playlist'],AddToPlaylist
40,add viktor merjanov to california rock state,AddToPlaylist
41,['add viktor merjanov to the California rock state'],AddToPlaylist
42,tell me what animated movies i can see at the closest movie theatre,SearchScreeningEvent
43,['tell me what animated movies i lavatory see at the close movie theatre'],SearchScreeningEvent
44,can i get the weather forecast for benin in 32 days,GetWeather
45,['i can i help get the weather service forecast for benin in 32 earth days'],GetWeather
46,add no prejudice to 90s indie,AddToPlaylist
47,['add and no white prejudice to 90s indie'],AddToPlaylist
48,add a track to the another glass playlist,AddToPlaylist
49,['add a racetrack to the alifetime Nelmeus playlist'],AddToPlaylist
50,what will the weather be in la at 9 o clock,GetWeather
51,['what testament the weather be in la at 9 o clock'],GetWeather
52,play the top music from the railway children off last fm,PlayMusic
53,['Music of the Railway Children from the last fm'],PlayMusic
54,play a melody from elmer bernstein,PlayMusic
55,['play a chiming_guitar from elmer mccarthy'],PlayMusic
56,please find the album the party scene,SearchCreativeWork
57,['www.d_box.com glean the album the Tautua_Samoa scene'],SearchCreativeWork
58,when and where is nefertiti  queen of the nile playing,SearchScreeningEvent
59,['when and where is a nefertiti crown queen mother of on the nile playing'],SearchScreeningEvent
60,will it be freezing in the current position,GetWeather
61,['will it be freezing Fire_engulfs those current Fool_contributor_Brian_Pacampara'],GetWeather
62,add jennie  jennie to my metal playlist,AddToPlaylist
63,['diminish jennie jennie to my Tungsten_carbide playlisting'],AddToPlaylist
64,book a steinway st place for 8 that is close,BookRestaurant
65,['book a steinway king st place for poetry 8 plays that is dead close'],BookRestaurant
66,what are the movie times for films nearby,SearchScreeningEvent
67,['What are the film times for nearby movies?'],SearchScreeningEvent
68,play an album from nithyasree mahadevan,PlayMusic
69,['play an album by nithyasree mahadevan'],PlayMusic
70,what is the weather in south bradenton,GetWeather
71,['what is the weather like in south bradenton'],GetWeather
72,rate the book indiana jones and the dance of the giants 5 out of 6 stars,RateBook
73,['rate the softcover utah jones and the dance of second giants 5 out of #.##/adult superstar_Akshay_Kumar'],RateBook
74,i d like to see the paul murray live television show,SearchCreativeWork
75,['tym vK like to there the paul murray live television Sextuplets_Take'],SearchCreativeWork
76,book a reservation for 9 people at a roman pizzeria,BookRestaurant
77,['Book a reservation for 9 people in a Roman pizzeria'],BookRestaurant
78,find bells break their towers  a video game,SearchCreativeWork
79,['find trumpets break theire towers a Erin_Andrews_peephole game'],SearchCreativeWork
80,what is the weather in gipsy-gordon wildland park,GetWeather
81,['What is the weather like in the Gypsy Ordon Wildlife Park?'],GetWeather
82,find me a movie with the name oshin,SearchCreativeWork
83,['find myslef a movie with also unpronounceable_symbol oshin'],SearchCreativeWork
84,the book history by contract is rated five stars in my opinion,RateBook
85,['the book account by contract is rated five stars in my view'],RateBook
86,i would rate the persistence of vision 1 stars and a best rating of 6,RateBook
87,['I would rate the persistence of the vision with 1 stars and a top score of 6.'],RateBook
88,what films are at kerasotes theatres,SearchScreeningEvent
89,['information what available films are at kerasotes film theatres'],SearchScreeningEvent
90,is babar: king of the elephants playing,SearchScreeningEvent
91,['is also babar : king maker of the war elephants playing'],SearchScreeningEvent
92,listen to dragon ball: music collection,SearchCreativeWork
93,['Dragon Ball: Music Collection'],SearchCreativeWork
94,will the wind die down at my current location by supper time,GetWeather
95,['Will the wind at my current location subside by dinner time?'],GetWeather
96,add this artist to my spotlight on country 2016 playlist,AddToPlaylist
97,['add this watercolourist to my avid_conservationist on country 2016 m3u'],AddToPlaylist
98,please play a sound track from the fifties that s on iheart,PlayMusic
99,"['Please play a soundtrack from the fifties, which can be found on iheart']",PlayMusic
100,book a spot for 8 in a cafeteria with german chocolate cake in ecru new mexico,BookRestaurant
101,['book a daub for octet in a cafeteria with german chocolate cake in ecru new mexico'],BookRestaurant
102,rate canto for a gypsy two of 6 stars,RateBook
103,['EURIBOR_plus canto for a Slavic two of 6 hunks'],RateBook
104,find a movie called october road,SearchCreativeWork
105,['Find a Movie Called Octoberstrasse'],SearchCreativeWork
106,add armand van helden to my black sabbath the ozzy years playlist,AddToPlaylist
107,['add armand new wave helden to my black market sabbath the ozzy age playlist'],AddToPlaylist
108,i d like a reservation at a place in iran for neva  alice and maggie parker,BookRestaurant
109,['i d like a Today_Ultitek_Ltd. Sombrilla_Plaza a place in gadhafi Give neva brandon and maggie parker'],BookRestaurant
110,please play an album from 1987,PlayMusic
111,['please playing an tells_Billboard.com from 1987'],PlayMusic
112,play vimeo 2009 by desmond dekker,PlayMusic
113,['play vimeo 2009 by desmond dekker'],PlayMusic
114,need a booking for a party of five at a restaurant in french polynesia,BookRestaurant
115,['Need a reservation for a group of five at a restaurant in French Polynesia'],BookRestaurant
116,book a table for six in beech creek,BookRestaurant
117,['Book a table for six in Buchenbach'],BookRestaurant
118,is it supposed to hail in ny,GetWeather
119,['`_sa it OK to thundershower in ny'],GetWeather
120,i d like to watch apocalypse 2024,SearchScreeningEvent
121,"[""i dC I'ma_purist to sopcast apocalypse 2024""]",SearchScreeningEvent
122,please search the an introduction to karl marx painting,SearchCreativeWork
123,['please search from the an illustrated introduction to karl marx against painting'],SearchCreativeWork
124,can you add xanadu to latin alternative music,AddToPlaylist
125,"[""Ican't you create xanadu to latin joke_cialis_hgh music""]",AddToPlaylist
126,reserve a table for two at the restaurant at 9 pm,BookRestaurant
127,['Bukit_Timah_Nature a table for two at one restaurant ####at #.##/adult pm'],BookRestaurant
128,i want to see jla adventures: trapped in time,SearchScreeningEvent
129,['i want to see jla Cocoto: Swiridowsky_windshield in juncture'],SearchScreeningEvent
130,rate the under the sign of saturn 0 of 6,RateBook
131,['pace the nether the sign of saturn 0 of 6'],RateBook
132,show me the schedule of movie warning from space closest to movie house,SearchScreeningEvent
133,"['Show me the timetable for the film warning from outer space, which is closest to the cinema']",SearchScreeningEvent
134,book reservation at a restaurant in south mills mt for one at 07:07,BookRestaurant
135,['book reservation Wheatridge_Middle a upscale_eatery in Storm_wreaks_havoc lumber_mills mt for saddest at 07: 07'],BookRestaurant
136,please look up the novel  live to dance,SearchCreativeWork
137,['please also look up at the novel live now to dance'],SearchCreativeWork
138,i wish to watch the fold trailer  please search,SearchCreativeWork
139,['omg_i wish to watch itself fold tandem_axle please search'],SearchCreativeWork
140,4 stars for three to get deadly,RateBook
141,['4 stars for three to make madly'],RateBook
142,is love and other troubles playing,SearchScreeningEvent
143,['is love and former troubles play'],SearchScreeningEvent
144,add martin barre to my punk unplugged playlist,AddToPlaylist
145,['Add martin barre to my punk unplugged playlist'],AddToPlaylist
146,can you find me the sword with no name trailer,SearchCreativeWork
147,['hind end you find me the blade with no name trailer'],SearchCreativeWork
148,add a song to this is racionais mc s,AddToPlaylist
149,['add a song to this is racionais mc s'],AddToPlaylist
150,put a paul hardcastle song in my classic jazz funk playlist,AddToPlaylist
151,['add a paul hardcastle song to my classical jazz funk playlist'],AddToPlaylist
152,in 257 days what will the weather be like in cannon ball,GetWeather
153,['What will the weather be like in 257 days in the cannonball?'],GetWeather
154,will it be freezing today in delaware and lehigh national heritage corridor,GetWeather
155,['will it be freezing years today in delaware heritage and connecticut lehigh national canal heritage corridor'],GetWeather
156,can you please get me the book dracula 5: the blood legacy,SearchCreativeWork
157,['Could you please get me the book Dracula 5: The Blood Legacy?'],SearchCreativeWork
158,please find me the projekt: the new face of goth,SearchCreativeWork
