,news,label
0,"Microsoft Corp.'s software platform for personal digital assistants took over the market lead from PalmSource Inc. for the first time in the third quarter, according to market research released Friday.",4
1,"[""Nasdaq_MSFT ######.SS. ' lawâ_€_™ software Tira_Jump during assistant_Diogo_Kotscho digital assistants took over the market lead from Qualphone Inc. for the first time in QThe eighth quarter, according to market research produced Friday.""]",4
2,"A Russian Soyuz spacecraft carrying two Russian cosmonauts and one American astronaut has reached orbit, after blasting off from the Baikonur cosmodrome in Kazakhstan.",4
3,"['a small russian soyuz u2 spacecraft allegedly carrying aboard two russian cosmonauts and one american union astronaut successfully has partially reached orbit, after violently blasting it off plasma from the baikonur cosmodrome in kazakhstan.']",4
4,"Fiat and General Motors are to hold more talks to solve their differences over  the future of the Italian firm's loss-making auto group, Fiat says.",3
5,"['Fiat and General Motors are to hold further talks to resolve their differences over the future of the loss-making Italian car group, Fiat said.']",3
6,"The U.S. Army has struck a deal with IBM and other companies to create an automated record-keeping system that ends the need for electronic forms to be printed out, signed and delivered up the military service's chain of command.",4
7,"[""The U. S. Army has struck a deal with IBM and other companies to crystallize aa automated record - locking paradigm COACH_FERENTZ_Yeah ends when need for presentment_EBPP forms to be DIN_A4 out, terminated_Mondesi and assembled up the military service ' s chain of command.""]",4
8,The European Commission is set to give the green light later today to accession talks with Turkey. EU leaders will take a final decision in December.,1
9,"['The European Commission will today give the green light to accession talks with Turkey, with the final decision to be taken by EU leaders in December.']",1
10,charge Iran vehemently denies. The IAEA has found many previously concealed nuclear activities in Iran. but no  quot;smoking gun quot; backing the US view.,1
11,['bearing Persia vehemently denies. The international atomic energy agency has found many antecedently hide atomic activities in Iran. but no quot; smoking throttle quot; back the US view.'],1
12,"ATHENS, Greece - Right now, the Americans aren't just a Dream Team - they're more like the Perfect Team. Lisa Fernandez pitched a three-hitter Sunday and Crystl Bustos drove in two runs as the Americans rolled to their eighth shutout in eight days, 5-0 over Australia, putting them into the gold medal game...",1
13,"[""athens, great greece - right now, the americans aren't just a silly dream team - they're more like being the absolutely perfect team. lisa fernandez pitched a three - hitter this sunday and crystl bustos even drove in two runs as... the americans rolled to their group eighth shutout in eight days, 5 - 0 over relegated australia, thus putting them into the gold medal game...""]",1
14,SYDNEY (Dow Jones)--Australian building products manufacturer James Hardie Industries NV (JHX) surprised investors Monday by reporting a 9.5 drop in net profit for ,3
15,['engineering sydney ( dow jenkins jones ) - - australian utility building products manufacturer private james w hardie building industries international nv ( jhx ) surprised investors monday by also reporting off a notable 9. 5 drop in net profit for'],3
16,"AP - An explosion rocked a police building in the restive Dagestan region adjacent to Chechnya on Friday, and initial reports indicated two people were killed, the Interfax news agency said.",1
17,"['ap - an attempted explosion rocked a small police department building operating in the formerly restive dagestan region adjacent to chechnya east on monday friday, 2005 and while initial reports indicated two people were killed, the bbc interfax news agency said.']",1
18,Yesterday we covered the news that Google is expanding their search to the mobile arena with their new Google SMS service which lets you search by sending text messages from your cellphone.,4
19,['yesterday day we definitely covered giving the news that google is expanding their search to the mainstream mobile business arena more with their new proprietary google talk sms service which lets you search by sending text back messages from inside your cellphone.'],4
20,Subaru World Rally team driver Petter Solberg took the lead on the all-new Rally Italia Sardinia on SS1 this morning Friday and held onto that advantage all day to end the leg more than thirty seconds ahead of second placed Marcus Gronholm.,2
21,['Subaru Egg_Throwing Rally teammates driver Petter Solberg took with lead on ofthe different - new Motorcycle_Rally Sviluppo Sardinia on SS1 here Patchy_dense_fog Friday and held onto that advantage truly day to end the leg more than thirty seconds ahead of second placed Marcus Gronholm.'],2
22,"Italian Premier Silvio Berlusconi (left) goes for a walk with British Prime Minister Tony Blair and his wife Cherie Blair at Berlusconi #39;s villa, Monday. AP ...",1
23,"['Italian Premier Silvio Berlusconi (left) pop off for a base on balls with British Prime Parson Tony Blair and his married woman Cherie Blair at Berlusconi # thirty nine; s villa, Mon. AP. ..']",1
24, WASHINGTON (Reuters) - U.S. housing industry economists on  Monday cautioned that rapid house price gains in some areas of  the country may not be sustainable.,3
25,['president washington (Reuters) - U. Entropy. housing diligence economist on Monday cautioned that rapid firm cost gains in some areas of the country may non be sustainable.'],3
26,"The battle lines are drawn on the third of the fourth and final test in Mumbai. After a miserable batting display, India fought back thanks to their bowlers to restrict Australia #39;s first innings lead to 99 runs.",2
27,"['the battle lines are drawn forth on the very third stroke of the fourth and final test match in mumbai. after a highly miserable batting display, great india fought back thanks to their fast bowlers to restrict australia # 39 ; s first ten innings lead to over 99 total runs.']",2
28,"Reuters - Ford Motor Co  said on Friday it\was recalling about 474,000 Escape and Mazda Tribute sport\utility vehicles globally because the accelerator cable may\prevent the engine from returning to the idle position, which\could increase stopping distance and result in a crash.",3
29,"[""Reuters - Ford Motor Co said on onMonday it \\ was recalling scurvy_scrimshaw 474, 000 Chimp_Eden and Mazda Tribute sport \\ utility Land_Rovers YM_licensees It'sa_shame hesaid accelerator cable may \\ prevent the Vortec_V8 from returning to the idle position, which \\ coud increase stopping runner_Cathal_Lombard and result in a crash.""]",3
30,LOS ANGELES Khalil (kuh-LEEL #39;) Greene has a broken right index finger and will miss the rest of the regular season. The San Diego Padres shortstop was injured in the fifth inning of Monday night #39;s 9-7 victory ,2
31,['LOS ANGELES Khalil (kuh - LEEL # 39;) Greene hasnâ_€_™ a cracked outselves index pinkies and need sprained_ankle the rest of SBKIY regular season. The visit_www.CountyImports.com Diego Padres shortstop was injured in the eightth inning of Monday night # 39; s 9 - 7 postseason_berth'],2
32,"AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.",1
33,"['alpha fetoprotein - A squadron of US Air Strength F - 15E fighters based in Alaska bequeath fly to S Korean peninsula next month for irregular deployment aim at enhancing US firepower on the Korean peninsula, US authorities said.']",1
34,The company splashes a new name on the inks to be used in its photo printers.,4
35,['Consequently company glisten a seemingly_limitless_possibilities pseudonym on the inks to be used but its APIn printers.'],4
36,"Software giant settles with Novell and the CCIA, ending years of legal wrangling.",4
37,"['Software giant settles with Novell and CCIA, ending years of litigation']",4
38,"The US Supreme Court limited the scope of federal trademark protection, saying rival companies in some cases can use proprietary terms even when customers might be confused.",3
39,"['the recent us supreme court has limited the scope then of federal trademark protection, therefore saying most rival music companies in some cases still can use proprietary terms even when customers present might be too confused.']",3
40,Stata Labs previously sold two products Bloomba and SAproxy Pro which have now been withdrawn from sale. Saproxy was an anti-spam product whilst Bloomba was an email management system which allows users to ,4
41,['Stata Labs previously sold two products Bloomba and SAproxy Pro which have now been withdrawn from sales agreement. Saproxy was an anti - spam product whilst Bloomba was an email management system which allow users to'],4
