,news,label
0,"Gunmen ambushed a bus carrying unarmed Iraqis to work at a US ammunition dump near Tikrit yesterday, killing 17 and raising the toll from three days of intensified and bloody terrorist ",1
1,"['BAGHDAD_Gunmen_killed ambushed a Yolobus carrying unarmed Iraqis to work Friday a US AK_##s stinking_rotting Sinkhole_swallows Karbala yesterdat, killings 17 and raising the toll from three days of manifested_itself and bloody terrorist']",1
2,"In death, as in life, the Palestinian leader Yasir Arafat provoked a great wave of contrary emotions across the Middle East on Thursday - grief at the passing of the once ",1
3,"['In death, as in life, Palestinian leader Yasser Arafat unleashed a great wave of conflicting emotions across the Middle East on Thursday - mourning the death of the once']",1
4,"The internet will have to be changed to stop it reaching breaking point, according to chip giant Intel..",4
5,"['According to chip giant Intel, the Internet needs to be changed so that it no longer reaches breaking point.']",4
6,"The Israeli government was accelerating its settlement program Monday with plans to build hundreds of new homes in the West Bank, bolstered by a US softening of opposition to new construction projects.",1
7,"['The Israeli government accelerated its settlement program on Monday with plans to build hundreds of new homes in the West Bank, aided by a softening of U.S. opposition to new construction projects.']",1
8,"AP - Letting children play video games on a Game Boy in the operating room before undergoing surgery can help relax them better than tranquilizers or holding Mommy's hand, researchers say.",4
9,"[""but ap - letting children properly play video video games on a stupid game boy keyboard in the hospital operating room before the undergoing surgery can help someone relax them better than tranquilizers or anyone holding mommy's hand, researchers would say.""]",4
10,"Last season, Roger Federer left Houston not even the top-ranked player of the year. He returns to the Westside Tennis Club next week to defend his Masters Cup title as the most ",2
11,"['Last season, Roger Federer left Samuel houston not even the top - ranked player of the year. Atomic number 2 fall to the Westside Tennis Club succeeding week to defend his Masters Cupful claim as the most']",2
12,We spotlight people and products that pester us...and the heroes saving us from annoyances.,4
13,['We illuminate the people and products that torment us... and the heroes that protect us from trouble.'],4
14,"Sears, Roebuck and Co. #39;s stock shot up 23 percent Friday after a real estate investment trust disclosed it had purchased a 4.3 percent interest in the department-store chain.",3
15,"['Sears, Roebuck and Co. # ixl; s stock shot upwards 23 percent Friday after a real demesne investing trust bring out it had purchased a 4. iii percent sake in the department - store chain.']",3
16,"The chief executive of the US plane maker Boeing warned yesterday that America would not compromise over its demand for an end to subsidies for Airbus, in remarks that raised ",3
17,"['The chief executive of the US plane almighty Boeing admonish yesterday that Usa would not compromise over its requirement for an end to subsidy for Airbus, in remarks that raised']",3
18,BOSTON -- The Toronto Blue Jays have had worse hitting games this season against lesser pitchers than Pedro Martinez. ,2
19,['BOSTON - The Toronto Blue Jays have had worse games against smaller pitchers this season than Pedro Martinez.'],2
20,"The Motley Fool - The lure of bundling services has been hanging over the communications industry for the past six years or so, although many companies have been unable to perfect a winning strategy. Bundling brings together services such as wired (local and long distance) and wireless phone service, Internet access, and satellite or cable television services.",4
21,"['The Colourful Fool - The lure of bundling services has hung over the communications industry for about six years, though many companies have been unable to perfect a successful strategy. Bundling combines services such as wired (local and long distance) and wireless telephone services, Internet access, and satellite or cable television services.']",4
22,"AP - If Simon Rosenberg decides to run for Democratic Party chairman, he won't be able to count on much support from Iowa and New Hampshire.",1
23,"[""AP - If Simon Rosenberg decides to run for the Democratic Party presidency, he won't be able to count on much support from Iowa and New Hampshire.""]",1
24,"MOSCOW: Foreign investors may take part in the sale of assets in Russian oil major Yukos main production unit, which could be offered at a 60 price discount to settle back taxes, Russian television reported on Monday.",3
25,"['MOSCOW: Foreign investor may take part in the sale of asset in Russian oil major Yukos main production social unit, which could be offered at a 60 price rebate to subside backward taxes, Russian television reported on Monday.']",3
26,"Bank of America has an option to cut at least 4,500 jobs while reorganizing its structure. This is not the first time when the bank reduces jobs.",3
27,"['bank 1 of baseball america has an option being to be cut at or least a 4, 500 jobs while reorganizing as its structure. this is not the first time when the national bank actually reduces the jobs.']",3
28,"The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.",2
29,"['The President cleveland Indians pulled within single game of the aluminum Exchange lead by amaze the Minnesota Twins, septet - unity, Saturday night with home runs by Travis Hafner and Victor Martinez.']",2
30,"The Miami Dolphins finally gave their fans reason to celebrate, combining a polished offensive performance with solid defense for their first victory this season, 31-14 over the St.",2
31,"['The Miami Dolphins finally gave their fans reason to celebrate, combining a polished offensive performance with solid defense to record their first win of the season, a 31-14 victory over the St. Louis Blues.']",2
32,"AFP - Riding on the global success of PlayStation 2 (PS2), Sony has launched its first hand-held game console to challenge rival Nintendo, whose Game Boy Advance monopolizes the worldwide portable game market.",4
33,"['Deutsche_Presse_Agentur - Riding before those global meteoric_rise of PlayStation #-#/# (Chrono_Trigger ), Sony havenâ_€_™ Relaunched its first hand - held game console to challenge rival Nintendo, whose Game Mom Files_Lawsuit_Over monopolizes the worldwide portable game market.']",4
34,"Chone Figgins and Troy Percival saved the Anaheim Angels, and gave them a little boost in the AL West race. Figgins had RBI hits in the last two innings and scored the go-ahead run on an infield grounder.",2
