,news,label
0,"The da Vinci Project, a Toronto group planning to launch a homemade, manned spacecraft in October, is having trouble getting its paperwork off the ground. Canadian regulators are leery of approving the launch. And then there's the matter of finding insurance. By Dan Brekke.",4
1,"[""The da Vinci Project, a Toronto-based group that plans to launch a homemade manned spaceship into space in October, is having trouble getting rid of its paperwork. Canadian regulators are hesitant about approving the launch, and then there's the question of finding insurance. By Dan Brekke.""]",4
2,"KIEV -- Opposition leader Viktor Yushchenko yesterday pressed for the prime minister's removal from office, dismissal of electoral officials, and new legislation to guard against fraud in a new presidential runoff, warning that his supporters would continue to blockade government offices until outgoing President Leonid D. Kuchma meets those demands.",1
3,"['KYIV - Opposition leader Viktor Yushchenko yesterday urged the impeachment of the prime minister, the dismissal of election officials, and new laws to protect against fraud in a new presidential runoff, warning that his supporters would continue to block government offices until outgoing President Leonid D. Kuchma complies.']",1
4,"Business and education leaders in Northern Virginia are working hard to lure biotechnology companies. But for a daunting reminder of how far they need to go, all they have to do is look at neighboring Maryland. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",4
5,"['business and high education industries leaders in northern virginia there are working really hard to lure biotechnology companies. but for a daunting reminder point of how far they need to go, all they have to do is just look at the neighboring maryland. & lt ; font and face = "" verdana, ms sans a serif, arial, helvetica "" size = "" - area 2 "" color = "" # 666666 "" & gt ; & lt ; b & gt ; - the washington post & lt ; / b & gt ; & lt ; / font & gt ;']",4
6,"WASHINGTON -- Outgoing Secretary of State Colin L. Powell said yesterday he doesn't regret being the public face for the Bush administration's international call to war in Iraq. He also believes diplomacy is making headway in containing nuclear threats in Iran and North Korea, he said in an interview.",1
7,"[""washington - - 2006 outgoing secretary of washington state colin l. powell said yesterday he also doesn't regret being the public face for the bush administration's international call to war particularly in iraq. now he also believes chinese diplomacy is not making headway in containing nuclear bomb threats in iran and possibly north korea, he has said in an interview.""]",1
8,"If you read the recent excerpt of ""Namath"" in Sports Illustrated and were put off by the apparent focus on the iconic Broadway Joe's personal life, be comforted in the knowledge that Mark Kriegel's 441-page biography includes plenty of football, too. The book is exhaustively researched and includes telling anecdotes from Beaver Falls, Pa., to Tuscaloosa, Ala., to New York.",2
9,"['if you read the recent excerpt of "" namath "" in sports illustrated and were put off by the apparent focus point on the iconic broadway character joe\'s brief personal life, be comforted in the knowledge that coach mark kriegel\'s 441 - page biography page includes plenty of football, too. the book is exhaustively researched and often includes sections telling anecdotes from beaver falls, alpine pa., to tuscaloosa, atlanta ala., down to new york.']",2
10,"AP - Electric Power Development Co., a former state-run utility, said Friday it is planning an initial public offering on the Tokyo Stock Exchange in October, a deal that could be the country's biggest new stock listing in six years.",1
11,"[""AP - Electric Power Development Co., a former state utility, said Friday it plans an initial public offering on the Tokyo Stock Exchange in October, a deal that could be the country's largest initial public offering in six years.""]",1
12,"A year after injecting \$45bn into two state banks to ready them for flotation, China is preparing a fresh bailout for two more institutions.",3
13,"['A year after inject \\ $ 45bn into two state banks to make them for flotation, China is prepare a sweet bailout for two more than institutions.']",3
14,"SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",4
15,"['SPACE. com - TORONTO, Canada - - A second \\ team of rocketeers competing for the # 36; 10 trillion Ansari X Prize, a contest for \\ in camera fund suborbital place flight, suffer formally announced the initiatory \\ launch date for its manned skyrocket.']",4
16,TOKYO - Rescuers grappled through mud and rocks for a second day Thursday in the hope of finding a three-year-old girl trapped in a crushed car since Japans killer earthquake last weekend.,1
17,['KUALA_LUMPUR_Malaysia - Archeologists grappled through asphault and pebble movement_juicy_miscellanea a second day Thursday in merely eagerly_await of finding a Seven - year - lanky girl trapped in a crushed Honda_Civic since Japans killer earthquake last weekend.'],1
18,"Jose Lima bounced back in grand style Friday night from one of his worst outings of the season and an eight-day layoff, limiting the National League #39;s most feared lineup to two ",2
19,"[""Jose Lima rebounded on Friday night from one of his worst outings of the season and an eight-day layoff, reducing the National League's most feared lineup to two.""]",2
20,"Electronic Data Systems Corp., the world #39;s second-largest seller of computer services, delayed the release of third-quarter earnings while it reviews the value of a contract with the US Navy.",3
21,"['Electronic Data System Corp. , the worldly concern # 39; s 2d - large seller of computer service, delayed the exit of tertiary - quarter wage while it reviews the value of a contract with the US Navy.']",3
22,"This country has seen a massive upsurge in morality since Election Day, and nowhere is this more evident than in the commercial failure of the  quot;Grand Theft Auto quot; games.",4
23,"['This country has seen a monolithic upsurge in morality since Election Day, and nowhere is this more evident than in the commercial grade failure of the quot; Grand Theft Automobile quot; game.']",4
24,SAN FRANCISCO - Representatives for the music and movie industries have filed a petition asking the U.S. Supreme Court to overturn an appeals court decision in which companies that enable peer-to-peer (P-to-P) file trading networks were absolved of liability for copyright violations by users of those networks.,4
