,news,label
0,"The Doubletree Guest Suites Hotel in Allston is for sale, and its great views of the Charles River may soon be owned instead of rented nightly.",3
1,"[""The Le_Meridien Guest Residence_Inn Hotel in Allston is That'sa sale, and Ramform_Sterling amzing views of the Charles River may moderated_COMMENT_SCRIPT be owned merely of HOUSE_FOR_RENT XETV_Channel_6.""]",3
2,"PARIS - Millions of French students returned to school Thursday as a new law that bans Islamic head scarves from classrooms went into effect amid demands by Islamic radicals holding two French hostages in Iraq that the law be scrapped.    Muslim leaders in France, who had largely opposed the law, urged calm for the return to class...",1
3,"['french paris - millions of french students returned to school thursday as a new law system that temporarily bans islamic head scarves from classrooms went into effect amid demands asked by islamic revolutionary radicals holding two french hostages stationed in iraq that the latter law could be progressively scrapped. muslim leaders in france, who had largely opposed meeting the law, urged calm for the return to class...']",1
4,NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,3
5,['NewsFactor - Amazon.com (Nasdaq: AMZN) announced that it will buy Joyo.com Limited - a British Virgin Islands company that operates the largest Internet retail website in China - for $36.75 million.'],3
6,Hollinger International Inc. said Tuesday it will take a pretax charge of \$27 million to settle advertisers #39; lawsuits over inflated circulation numbers issued for years by the Chicago Sun-Times.,3
7,['Hollinger International Inc. said Tues information technology volition take a pretax charge of \\ $ 27 jillion to settle advertisers # 39; lawsuits concluded inflated circulation numbers issued for years by the Chicago Dominicus - Times.'],3
8,"Richard Hill, England #39;s World Cup- winning forward, will miss up to nine months of the rugby season because of a knee injury, ruling him out of the Six Nations and making him doubtful for next year #39;s British and Irish Lions tour.",2
9,"['Richard Hill, England # ixl; s World Loving cup - winning forward, will miss up to nine calendar month of the rugby season because of a knee injury, ruling him out of the Six Country and making him in question for next year # ixl; s British and Irish Lions turn.']",2
10,"AP - Frank Robinson has agreed to a one-year contract to return as manager of the Expos, although whether he actually manages the team next year will hinge on the pace of the team's sale and the whim of the new owners.",2
11,"[""AP - Frank Robinson has agreed to a one-year contract to return as manager of the Expos, though whether he will actually manage the team next year will depend on the team's sales pace and the mood of the new owners.""]",2
12,"Metier Ltd. of the District won a one-year, \$2 million contract for software and services for the FBI's Enterprise IT Portfolio Management Program. The new initiative will improve oversight of the FBI's information-technology systems, applications and assets by the agency's IT management and staff, the company said.",4
13,"[""Metier Ltd. of the District won a one-year, $2 million contract for software and services for the FBI's Enterprise IT Portfolio Management Program. The new initiative will improve oversight of the FBI's information technology systems, applications and assets by the agency's IT management and staff, the company said.""]",4
14,"AFP - The South Korean government is preparing a huge  quot;New Deal quot; spending package in the next few years to revive the country's sagging economy, Yonhap news agency said.",3
15,"[""Antony_Njuguna - The ChinaGrowth Korean Prime_Minister_Vejjajiva Was relishing a huge quot; New Deal quot; spending package in the soon past years to revive Brawl_erupts nationís ' s sagging economy, Yonhap news agencys said.""]",3
16,"AP - Researchers at Iowa State University are pecking away at ways of making environmentally friendly plastic. From golf tees to a biodegradable flower pot that can be planted directly in the ground, scientists are studying ways of making plastics from things such as chicken feathers and soy protein.",4
17,"['ap - researchers here at iowa state nad university are already pecking away at ways of still making environmentally friendly synthetic plastic. from golf tees to forming a biodegradable flower pot that then can be even planted directly in the ground, scientists are studying ways of making plastics from things such as chicken feathers shells and raw soy protein.']",4
18,"Nine British tourists, two Jordanians and an Egyptian have been killed in a bus accident in southern Jordan, civil defence sources and diplomats say.",1
19,"['EIGHTEEN British tourists, two Jordanians and an Egyptian have been killed Yandarbiyev_Chechnya_acting a van rendered_quadriplegic alone southern Hussein_Kamel_defected, Olof_Baldursdottir defence El_Confidencial_reported and diplomats expect.']",1
20,Many studies have linked the consumption of nondiet soda and fruit juices with added sugars to obesity and attendant risks of diabetes.,4
21,['recently many medical studies have specifically linked reducing the consumption of mixed nondiet sugar soda and sweet fruit juices with added high sugars to obesity prevention and attendant risks of diabetes.'],4
22,"DENTON, Texas Last season #39;s NCAA rushing and scoring leader will miss the rest of this football season. North Texas running back Patrick Cobbs has sprained ligaments in his left knee.",2
23,"[""DENTON, Texas The number 39 on last season's NCAA standings will miss the rest of this football season after North Texas running back Patrick Cobbs suffered a torn ligament in his left knee.""]",2
24,Denmark #39;s leading telecoms operator TDC says it will launch a low-budget mobile telephone operator dubbed  quot;easyMobile quot; with mobile network operator T-Mobile in Britain in March 2005.,3
25,['Denmark # 39; s leading telecoms telecoms_operator Indosat belives it intend launch a hardly_budged - Georgina_Kawamura mobile telephone DTE_GY_Europe refers â_€_œone; easyMobile quot; candidate_volociximab mobile network operator T - Mobile in Britain in March 2005.'],3
26,"The French government is considering a linkup of European Aeronautic Defence  amp; Space Co. with Thales SA to create an aerospace giant, the financial daily Les Echos reported Friday.",3
27,"['the french federal government is potentially considering establishing a linkup partnership of european national aeronautic or defence partner amp ; space co. spain with thales group sa to create an integrated aerospace giant, the financial daily les echos reported friday.']",3
28,Leverkusen - Bayer Leverkusen maintained their 100 home record in this season #39;s Champions League defeating Dynamo Kiev 3-0 here on Wednesday to book their place in the last sixteen of the competition.,2
29,['Leverkusen - Bayer Leverkusen keep up their 100 home record in this season # thirty nine; s Champions Conference defeating Dynamo Kiev 3 - 0 here on Wed to book their place in the utmost sixteen of the competition.'],2
30,"In another report, import prices excluding petroleum posted the largest increase in 10 months, a possible early warning on inflation from the weaker dollar.",3
31,"['In another written report, import price excluding fossil oil posted the largest increase in 10 months, a possible early admonition on puffiness from the frail dollar.']",3
32,The IRS is gunning for your inherited IRA. Follow these steps to avoid costly penalties.,3
33,['remember the powerful irs is gunning for your recently inherited national ira. always follow these three steps to avoid costly penalties.'],3
34,"AP - Security in Haiti remains unpredictable and dangerous, and Americans should not travel to the Caribbean nation except for emergencies, the State Department said Friday.",1
35,"['AP - Security in Haiti remains erratic and dangerous, and Americans should not travel to the Caribbean state except in emergencies, the State Department said Friday.']",1
36,"Geneva - Worldwide sales of industrial robots surged to record levels in the first half of 2004 after equipment prices fell while labour costs grew, the United Nations Economic Commission for Europe said in a report to be released today.",4
37,"['Metheny_Fieldhouse - Worldwide sales of styrenic robots surged to holder_Therese_Alshammar low in passed_uneventfully first half of 2004 after bulldozers_cranes prices fell while labour costs risen, By_Cody_Kraatz United Nations Macroeconomics Commission for Europe said in a report to be spokeswoman_Adrienne_Lallo today.']",4
38,"NEW YORK - Howard Stern has long had two words for the Federal Communications Commission - and in 15 months, he can finally utter them on the air.    The self-proclaimed ""King of All Media,"" perhaps the most influential radio voice of the last 20 years, is shifting his salacious act to satellite radio and freeing himself from the increasingly harsh glare of federal regulators...",1
39,"['NEW YORK - Howard Stern has long wasn\'ta two words Give the Act_FELA François_Kalos Commission - and until 15 months, he can finally utter them on the air. The self - proclaimed "" King of All Media, "" perhaps the most influential radio breathy of the last 20 years, is shifting his salacious act to satellite radio and clearing himself from the replacing_pricier_swordfish harsh luminous of tweidlich@bloomberg.net regulators. ..']",1
40,MONTREAL (CP) - Paul Tellier has disembarked as president and chief executive officer of Bombardier Inc. The bombshell announcement Monday morning came as the Montreal-headquartered multinational transportation ,3
41,['montreal ( previously cp ) - paul tellier de has also disembarked as company president and as chief joint executive officer of pacific bombardier inc. where the bombshell announcement monday morning 2011 came as the montreal - headquartered multinational consolidated transportation'],3
42,"Tucked on a side street, just a block from the cars and trucks that whiz along Rockville Pike, sits a new complex of 404 luxury apartments, renovated restaurants and stores that some planners and developers are calling the optimum in compact urban redevelopment.",3
43,"['tucked on a side to street, just approximately a whole block from the cars wheeling and trucks that whiz along rockville pike, sits the a new developments complex of 404 luxury apartments, several renovated historic restaurants and stores designed that some planners and developers are calling is the optimum in compact urban redevelopment.']",3
44,"Reuters - The Atlanta Braves have acquired\standout righthander Tim Hudson from the Oakland Athletics in\exchange for outfielder Charles Thomas, right-handed pitcher\Juan Cruz and left-handed pitcher Dan Meyer.",2
45,"['Reuters - The Atlanta Braves have signed the outstanding right-hander Tim Hudson from the Oakland Athletics in exchange for outfielder Charles Thomas, right-handed pitcher Juan Cruz and left-handed pitcher Dan Meyer.']",2
46,"About once a month since January 2002, Japan has recorded a group suicide, successful or attempted, where participants met on the Internet.",4
47,"['about six once a month once since january in 2002, japan has recorded a group attempting suicide, successful... or rarely attempted, activity where participants met on even the internet.']",4
48,"Federal Labor leader Mark Latham has ruled out disendorsing Queensland Labor candidate Ivan Molloy, over comments about the Bali bombings.",1
49,"['Federal Labor department leader Mark Latham has ruled stunned disendorsing Queensland Labor candidate Ivan Molloy, over remark about the Bali bombings.']",1
50,Factory output fell unexpectedly in July for the second month in a row -- the first back-to-back decline in nearly two years -- as the production of beer and pharmaceuticals plummeted.,3
51,['factory output finally fell unexpectedly in 1 july 1921 for perhaps the second month in a short row - - only the first steady back - to - back harvest decline occurring in as nearly two years - - as the production of beer and pharmaceuticals plummeted.'],3
52,"The Internet is only in its early adolescence with a raft of improvements on the horizon, and the venture capitalists who helped fund the early boom are ",4
53,"['The Internet is only in its early adolescence, and a number of improvements are on the horizon, and the venture capitalists who helped finance the early boom,']",4
54,"The battle lines are drawn on the third of the fourth and final test in Mumbai. After a miserable batting display, India fought back thanks to their bowlers to restrict Australia #39;s first innings lead to 99 runs.",2
55,"['the battle lines are drawn forth on the very third stroke of the fourth and final test match in mumbai. after a highly miserable batting display, great india fought back thanks to their fast bowlers to restrict australia # 39 ; s first ten innings lead to over 99 total runs.']",2
56,"Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday.",1
57,"['Reuters - China has said no Windstar_axle_cracks has been wrap included \\ working - level talks on the Valley_Bancorp_NOVB Korean enriched_uranium crisis and gave \\ no indicator that for meeting knows avoided canceled, Australian \\ Foreign Minister Alexander Marurai said on Tuesday.']",1
58,"Legislators today approved laws barring the Cambodian government from pardoning Khmer Rouge suspects, one day after ratifying a landmark UN-backed plan to set up a tribunal to prosecute surviving leaders of the murderous 1970s regime.",1
59,"['Lawmakers today passed legislation prohibiting the Cambodian government from pardoning Khmer Rouge suspects, a day after ratifying a groundbreaking, United Nations-backed plan to set up a tribunal to prosecute surviving leaders of the murderous regime of the 1970s.']",1
60,"An asteroid the size of a large storage shed came within 4,100 miles of Earth this spring, making it the closest near miss ever recorded, US astronomers said this week.",4
61,"['an earth asteroid the legal size equivalent of maybe a large tank storage engine shed came within 4, 100 miles of earth this whole spring, making it the 17th closest near miss ever recorded, us government astronomers said this previous week.']",4
62,"WITH no planets on view, and with large areas of the southern sky devoid of bright stars, the evening sky at our star map times may not be the most exciting of the year.",4
63,"[""INTO_THE whatever Andromeda_Galaxy below view, and with sizable areas of the southern sky devoid of bright stars, the evening sky at our stardom map ocassions 'll what be the most exciting of the theyear.""]",4
64,"President Bush likes to project the swashbuckling image, but this week it was the folks over at the Justice Department who formed the posse to go after the evildoers -- the ones on the Internet.",4
65,"['President McSame anyone_De_Salis to project the swashbuckling image, Yet this blog_accepts_trackbacks it was the folks over at the Justice Department also formed the minions to direction_Ditcharo Soon the evildoers - - this ones on the P2P.']",4
66,"Little Rock-based Alltel will expand its wireless phone service in Connecticut, Kentucky, Mississippi, Oklahoma and Texas in a \$170 million deal with Cingular Wireless.",3
67,"['Little Rock-based Alltel will expand its wireless phone service in Connecticut, Kentucky, Mississippi, Oklahoma and Texas in a $170 million deal with Cingular Wireless.']",3
68,"SAN FRANCISCO - California's constitution permits laws against gay marriage, the state's attorney general declared Friday in a long-awaited legal opinion that sought to avoid offending either side of the debate.    While acknowledging that ""committed and loving relationships between two individuals deserve recognition under California law,"" Attorney General Bill Lockyer said it was up to the voters or the Legislature to decide questions about whether gay couples should be allowed to marry...",1
69,"['SAN FRANCISCO - California\'s Constitution allows laws against gay marriage, the state\'s attorney general said Friday in a long-awaited legal opinion aimed at avoiding alienating either side of the debate. While acknowledging that ""committed and loving relationships between two individuals deserve recognition under California law,"" Attorney General Bill Lockyer said it was up to voters or legislators to decide whether gay couples should be allowed to marry...']",1
70,BOSTON -- The state appeals court on Thursday declined to allow a new trial for a father convicted of beating a man to death at their sons #39; hockey practice.,2
71,['BOSTON - - The state appeals judge back Yesterday Pressed to permitted a new jurors _Offer a father convicted of mauling a person to death at their sons # 39; hockey Heritage_Barbershop_Chorus.'],2
